seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.5,XGboost,heart,GCP+Initial,1.0
0,1,0.196546,XGboost,heart,GCP+Initial,0.39308471701660425
0,2,0.5,XGboost,heart,GCP+Initial,0.39308471701660425
0,3,0.5,XGboost,heart,GCP+Initial,0.39308471701660425
0,4,0.5,XGboost,heart,GCP+Initial,0.39308471701660425
0,5,0.149671,XGboost,heart,GCP+Initial,0.2993335920031041
0,6,0.203125,XGboost,heart,GCP+Initial,0.2993335920031041
0,7,0.182566,XGboost,heart,GCP+Initial,0.2993335920031041
0,8,0.21875,XGboost,heart,GCP+Initial,0.2993335920031041
0,9,0.17598699999999998,XGboost,heart,GCP+Initial,0.2993335920031041
0,10,0.219572,XGboost,heart,GCP+Initial,0.2993335920031041
0,11,0.118421,XGboost,heart,GCP+Initial,0.236832841994104
0,12,0.121711,XGboost,heart,GCP+Initial,0.236832841994104
0,13,0.121711,XGboost,heart,GCP+Initial,0.236832841994104
0,14,0.129934,XGboost,heart,GCP+Initial,0.236832841994104
0,15,0.154605,XGboost,heart,GCP+Initial,0.236832841994104
0,16,0.19901300000000002,XGboost,heart,GCP+Initial,0.236832841994104
0,17,0.126645,XGboost,heart,GCP+Initial,0.236832841994104
0,18,0.171053,XGboost,heart,GCP+Initial,0.236832841994104
0,19,0.180921,XGboost,heart,GCP+Initial,0.236832841994104
0,20,0.110197,XGboost,heart,GCP+Initial,0.22038464461573548
0,21,0.104441,XGboost,heart,GCP+Initial,0.20887250647007774
0,22,0.126645,XGboost,heart,GCP+Initial,0.20887250647007774
0,23,0.090461,XGboost,heart,GCP+Initial,0.18091217094605144
0,24,0.18174300000000002,XGboost,heart,GCP+Initial,0.18091217094605144
0,25,0.169408,XGboost,heart,GCP+Initial,0.18091217094605144
0,26,0.10526300000000001,XGboost,heart,GCP+Initial,0.18091217094605144
0,27,0.131579,XGboost,heart,GCP+Initial,0.18091217094605144
0,28,0.08881599999999999,XGboost,heart,GCP+Initial,0.17762213146557765
0,29,0.07894699999999999,XGboost,heart,GCP+Initial,0.15788389460673535
0,30,0.14227,XGboost,heart,GCP+Initial,0.15788389460673535
0,31,0.119243,XGboost,heart,GCP+Initial,0.15788389460673535
0,32,0.102796,XGboost,heart,GCP+Initial,0.15788389460673535
0,33,0.12828900000000001,XGboost,heart,GCP+Initial,0.15788389460673535
