seed,iteration,value,blackbox,task,optimizer,dtm
0,0,3.5347845554351807,Deepar,m4-Daily,GCP+Initial,0.06721369699231083
0,1,7.178186893463135,Deepar,m4-Daily,GCP+Initial,0.06721369699231083
0,2,2.31745719909668,Deepar,m4-Daily,GCP+Initial,0.04401416627050765
0,3,5.817364692687987,Deepar,m4-Daily,GCP+Initial,0.04401416627050765
0,4,6.745896339416504,Deepar,m4-Daily,GCP+Initial,0.04401416627050765
0,5,5.281320095062256,Deepar,m4-Daily,GCP+Initial,0.04401416627050765
0,6,6.6780033111572275,Deepar,m4-Daily,GCP+Initial,0.04401416627050765
0,7,3.207346200942993,Deepar,m4-Daily,GCP+Initial,0.04401416627050765
0,8,10.252572059631348,Deepar,m4-Daily,GCP+Initial,0.04401416627050765
0,9,5.610406398773193,Deepar,m4-Daily,GCP+Initial,0.04401416627050765
0,10,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,11,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,12,0.049153074622154236,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,13,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,14,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,15,0.049153074622154236,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,16,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,17,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,18,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,19,0.049153074622154236,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,20,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,21,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,22,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,23,0.049153074622154236,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,24,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,25,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,26,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,27,0.049153074622154236,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,28,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,29,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,30,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,31,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,32,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,33,0.049153074622154236,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,34,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,35,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,36,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,37,3.7530229091644287,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,38,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,39,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,40,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,41,0.049153074622154236,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,42,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,43,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,44,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,45,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,46,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,47,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,48,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,49,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,50,0.049153074622154236,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,51,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,52,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,53,0.03174617514014244,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,54,0.034892886877059937,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,55,0.034892886877059937,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,56,0.034892886877059937,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,57,0.05840825289487839,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,58,0.7610512971878052,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,59,0.06697115302085876,Deepar,m4-Daily,GCP+Initial,0.0004536376704269489
0,60,0.02406836301088333,Deepar,m4-Daily,GCP+Initial,0.0003073157813791768
0,61,0.02761645242571831,Deepar,m4-Daily,GCP+Initial,0.0003073157813791768
0,62,0.04935693740844727,Deepar,m4-Daily,GCP+Initial,0.0003073157813791768
0,63,0.03495771437883377,Deepar,m4-Daily,GCP+Initial,0.0003073157813791768
0,64,0.041741125285625465,Deepar,m4-Daily,GCP+Initial,0.0003073157813791768
0,65,0.026233477517962456,Deepar,m4-Daily,GCP+Initial,0.0003073157813791768
0,66,0.021758191287517548,Deepar,m4-Daily,GCP+Initial,0.0002632890866780331
0,67,0.07328744977712631,Deepar,m4-Daily,GCP+Initial,0.0002632890866780331
0,68,0.02883620746433735,Deepar,m4-Daily,GCP+Initial,0.0002632890866780331
0,69,1.1843702793121338,Deepar,m4-Daily,GCP+Initial,0.0002632890866780331
