seed,iteration,value,blackbox,task,optimizer,dtm
0,0,1.4438763856887815,Deepar,m4-Hourly,GCP+Initial,0.027365674134758076
0,1,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.0049659512399950895
0,2,2.5578992366790767,Deepar,m4-Hourly,GCP+Initial,0.0049659512399950895
0,3,1.4438763856887815,Deepar,m4-Hourly,GCP+Initial,0.0049659512399950895
0,4,48.14155578613281,Deepar,m4-Hourly,GCP+Initial,0.0049659512399950895
0,5,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.0049659512399950895
0,6,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,7,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,8,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,9,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,10,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,11,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,12,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,13,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,14,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,15,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,16,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,17,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,18,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,19,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,20,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,21,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,22,0.16564686596393585,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,23,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,24,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,25,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,26,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,27,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,28,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,29,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,30,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,31,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,32,1.4438763856887815,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,33,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,34,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,35,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,36,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,37,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,38,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,39,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,40,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,41,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,42,0.16564686596393585,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,43,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,44,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,45,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,46,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,47,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,48,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,49,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,50,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,51,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,52,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,53,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,54,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,55,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.002059815526454535
0,56,0.11240924894809724,Deepar,m4-Hourly,GCP+Initial,0.00199089504756451
0,57,0.2685166001319885,Deepar,m4-Hourly,GCP+Initial,0.00199089504756451
0,58,0.1160256490111351,Deepar,m4-Hourly,GCP+Initial,0.00199089504756451
0,59,0.29104042053222656,Deepar,m4-Hourly,GCP+Initial,0.00199089504756451
0,60,0.4785145521163941,Deepar,m4-Hourly,GCP+Initial,0.00199089504756451
0,61,0.5134400725364685,Deepar,m4-Hourly,GCP+Initial,0.00199089504756451
0,62,3.874824523925781,Deepar,m4-Hourly,GCP+Initial,0.00199089504756451
0,63,0.7194307446479797,Deepar,m4-Hourly,GCP+Initial,0.00199089504756451
0,64,4.242534160614014,Deepar,m4-Hourly,GCP+Initial,0.00199089504756451
