seed,iteration,value,blackbox,task,optimizer,dtm
0,0,1.002893567085266,Deepar,m4-Monthly,GCP+Initial,0.01896153009354357
0,1,1.941050410270691,Deepar,m4-Monthly,GCP+Initial,0.01896153009354357
0,2,18.40848731994629,Deepar,m4-Monthly,GCP+Initial,0.01896153009354357
0,3,18.40848731994629,Deepar,m4-Monthly,GCP+Initial,0.01896153009354357
0,4,1.941050410270691,Deepar,m4-Monthly,GCP+Initial,0.01896153009354357
0,5,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.0033315616165478616
0,6,1.8235554695129397,Deepar,m4-Monthly,GCP+Initial,0.0033315616165478616
0,7,0.16916993260383606,Deepar,m4-Monthly,GCP+Initial,0.003072626446604636
0,8,0.17677360773086548,Deepar,m4-Monthly,GCP+Initial,0.003072626446604636
0,9,0.16236798465251925,Deepar,m4-Monthly,GCP+Initial,0.002942996565502382
0,10,0.19601038098335266,Deepar,m4-Monthly,GCP+Initial,0.002942996565502382
0,11,0.2183070182800293,Deepar,m4-Monthly,GCP+Initial,0.002942996565502382
0,12,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002942996565502382
0,13,0.223722904920578,Deepar,m4-Monthly,GCP+Initial,0.002942996565502382
0,14,0.9262408018112184,Deepar,m4-Monthly,GCP+Initial,0.002942996565502382
0,15,0.1249186471104622,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,16,7.0849666595458975,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,17,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,18,1.9802632331848145,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,19,0.16236798465251925,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,20,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,21,0.19601038098335266,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,22,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,23,0.16916993260383606,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,24,0.17677360773086548,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,25,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,26,0.19582191109657288,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,27,0.13545458018779755,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,28,0.16236798465251925,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,29,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,30,0.16236798465251925,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,31,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,32,0.19601038098335266,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,33,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,34,0.19582191109657288,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,35,0.16916993260383606,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,36,0.1249186471104622,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,37,0.16236798465251925,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,38,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,39,0.2183070182800293,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,40,0.17677360773086548,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,41,0.1306995153427124,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,42,0.1827567964792252,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,43,0.16236798465251925,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,44,0.223722904920578,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
0,45,0.19601038098335266,Deepar,m4-Monthly,GCP+Initial,0.002229296136201801
