seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.37488996982574463,Deepar,m4-Weekly,GCP+Initial,0.0069931892260161645
0,1,0.37488996982574463,Deepar,m4-Weekly,GCP+Initial,0.0069931892260161645
0,2,2.5313591957092285,Deepar,m4-Weekly,GCP+Initial,0.0069931892260161645
0,3,0.37488996982574463,Deepar,m4-Weekly,GCP+Initial,0.0069931892260161645
0,4,52.48001098632813,Deepar,m4-Weekly,GCP+Initial,0.0069931892260161645
0,5,3.2988901138305664,Deepar,m4-Weekly,GCP+Initial,0.0069931892260161645
0,6,5.011944770812988,Deepar,m4-Weekly,GCP+Initial,0.0069931892260161645
0,7,0.0824449434876442,Deepar,m4-Weekly,GCP+Initial,0.0014198425517279064
0,8,0.09044954180717467,Deepar,m4-Weekly,GCP+Initial,0.0014198425517279064
0,9,0.7726143598556519,Deepar,m4-Weekly,GCP+Initial,0.0014198425517279064
0,10,0.15818360447883606,Deepar,m4-Weekly,GCP+Initial,0.0014198425517279064
0,11,0.31363460421562195,Deepar,m4-Weekly,GCP+Initial,0.0014198425517279064
0,12,0.2624976634979248,Deepar,m4-Weekly,GCP+Initial,0.0014198425517279064
0,13,0.06098997592926025,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,14,0.1204383745789528,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,15,0.0824449434876442,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,16,0.09779440611600876,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,17,0.20212148129940036,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,18,0.07934154570102693,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,19,0.0824449434876442,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,20,0.1099783331155777,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,21,0.1306028664112091,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,22,0.0824449434876442,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,23,0.14017149806022644,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,24,0.09044954180717467,Deepar,m4-Weekly,GCP+Initial,0.0010109589622691547
0,25,0.05192430317401886,Deepar,m4-Weekly,GCP+Initial,0.000838187560637601
0,26,0.1048670932650566,Deepar,m4-Weekly,GCP+Initial,0.000838187560637601
0,27,0.37488996982574463,Deepar,m4-Weekly,GCP+Initial,0.000838187560637601
0,28,0.0824449434876442,Deepar,m4-Weekly,GCP+Initial,0.000838187560637601
0,29,0.05614681541919708,Deepar,m4-Weekly,GCP+Initial,0.000838187560637601
0,30,0.04959065839648247,Deepar,m4-Weekly,GCP+Initial,0.0007937135221397949
0,31,0.04275868088006973,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,32,0.06836770474910736,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,33,0.05482044070959091,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,34,0.13546819984912872,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,35,0.0824449434876442,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,36,0.046485882252454765,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,37,0.2876545786857605,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,38,0.18770000338554385,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,39,0.1056981012225151,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,40,0.10671982169151306,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,41,0.24889571964740756,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,42,0.06758376955986023,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,43,0.07030865550041199,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,44,0.0824449434876442,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,45,4.743975162506104,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,46,0.17923004925251007,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,47,0.0759562999010086,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,48,0.04344996064901352,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,49,0.06490379571914673,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,50,0.07091206312179565,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,51,0.05655355006456375,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
0,52,0.0953778550028801,Deepar,m4-Weekly,GCP+Initial,0.0006635113448393348
