seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.3369219899177551,NAS,parkinsons,GCP+Initial,0.00036220328955778575
0,1,0.5938835740089417,NAS,parkinsons,GCP+Initial,0.00036220328955778575
0,2,0.6807923316955566,NAS,parkinsons,GCP+Initial,0.00036220328955778575
0,3,1.3144313097000122,NAS,parkinsons,GCP+Initial,0.00036220328955778575
0,4,0.6234503388404846,NAS,parkinsons,GCP+Initial,0.00036220328955778575
0,5,0.29311174154281616,NAS,parkinsons,GCP+Initial,0.00031510123138789114
0,6,0.3950703740119934,NAS,parkinsons,GCP+Initial,0.00031510123138789114
0,7,0.2853407561779022,NAS,parkinsons,GCP+Initial,0.00030674635054898317
0,8,0.10242977738380432,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,9,0.3859678208827973,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,10,0.44070780277252203,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,11,0.4004373848438263,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,12,0.21399927139282227,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,13,0.2852858603000641,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,14,0.4522551596164704,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,15,0.27802109718322754,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,16,0.5741422772407532,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,17,0.5227628350257874,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,18,0.3443048298358917,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,19,0.7617517113685608,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,20,0.2284873574972153,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,21,0.5367143154144287,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,22,0.3227345645427704,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,23,0.35695117712020874,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,24,0.2547647058963776,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,25,0.5623064637184143,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,26,0.3967150151729584,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,27,0.16814789175987244,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,28,0.4110765159130096,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,29,0.2852277755737305,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,30,0.4631726443767548,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,31,0.6836322546005249,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,32,0.7266930341720581,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,33,0.6384767889976501,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,34,0.10519911348819733,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,35,0.2255977690219879,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,36,0.20346736907958984,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,37,0.4938017427921295,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,38,0.2707630693912506,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,39,0.4360867738723755,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,40,0.2909339070320129,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,41,0.1235179454088211,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,42,0.32169777154922485,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,43,0.24215494096279144,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,44,0.2331443727016449,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,45,0.19557741284370425,NAS,parkinsons,GCP+Initial,0.00011009182603365714
0,46,0.02189600095152855,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,47,1.0164202451705933,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,48,0.4585986137390137,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,49,0.22913801670074466,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,50,0.6834545135498047,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,51,0.7357655763626099,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,52,0.7822325229644775,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,53,0.4340625107288361,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,54,0.3450159728527069,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,55,0.1822005957365036,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,56,0.13618430495262146,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,57,0.1203075349330902,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,58,0.3474511504173279,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,59,0.23707331717014316,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,60,0.220654770731926,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,61,0.2440104931592941,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,62,0.17337360978126526,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,63,0.3100157976150513,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,64,0.6267879605293274,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,65,0.21560853719711304,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,66,0.5223960876464844,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,67,0.5463297963142395,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,68,0.386705219745636,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
0,69,0.35366806387901306,NAS,parkinsons,GCP+Initial,2.3506911250926802e-05
1,0,0.6351853609085083,NAS,parkinsons,GCP+Initial,0.0006828775420779276
1,1,0.9765607714653016,NAS,parkinsons,GCP+Initial,0.0006828775420779276
1,2,0.5843594074249268,NAS,parkinsons,GCP+Initial,0.0006282326334931712
1,3,0.6522898077964783,NAS,parkinsons,GCP+Initial,0.0006282326334931712
1,4,0.9500666856765748,NAS,parkinsons,GCP+Initial,0.0006282326334931712
1,5,0.8622639179229736,NAS,parkinsons,GCP+Initial,0.0006282326334931712
1,6,0.6894552707672119,NAS,parkinsons,GCP+Initial,0.0006282326334931712
1,7,0.3997752070426941,NAS,parkinsons,GCP+Initial,0.0004297791650435183
1,8,0.29432690143585205,NAS,parkinsons,GCP+Initial,0.00031640769583606444
1,9,0.2572160363197327,NAS,parkinsons,GCP+Initial,0.0002765083984736125
1,10,0.6525267362594604,NAS,parkinsons,GCP+Initial,0.0002765083984736125
1,11,0.10926758497953416,NAS,parkinsons,GCP+Initial,0.00011744341209115259
1,12,0.18321742117404935,NAS,parkinsons,GCP+Initial,0.00011744341209115259
1,13,0.6841068267822266,NAS,parkinsons,GCP+Initial,0.00011744341209115259
1,14,0.5411144495010376,NAS,parkinsons,GCP+Initial,0.00011744341209115259
1,15,0.23177850246429446,NAS,parkinsons,GCP+Initial,0.00011744341209115259
1,16,0.12109945714473724,NAS,parkinsons,GCP+Initial,0.00011744341209115259
1,17,0.41692399978637695,NAS,parkinsons,GCP+Initial,0.00011744341209115259
1,18,0.6438436508178711,NAS,parkinsons,GCP+Initial,0.00011744341209115259
1,19,0.0704297199845314,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,20,0.396954357624054,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,21,0.6693319082260132,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,22,0.9842642545700072,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,23,0.2380650639533997,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,24,1.3373050689697266,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,25,0.3329636752605438,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,26,0.6560316681861877,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,27,0.8861480355262756,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,28,0.21308958530426025,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,29,0.4247505962848663,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,30,0.4152539074420929,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,31,0.0704297199845314,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,32,0.6845158338546753,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,33,0.2142931222915649,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,34,0.3740968406200409,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,35,0.7209137678146362,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,36,0.2777186334133148,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,37,0.5129969716072083,NAS,parkinsons,GCP+Initial,7.56873517161198e-05
1,38,0.03177373856306076,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,39,0.5936787724494934,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,40,0.03177373856306076,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,41,0.7286344170570374,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,42,0.14653709530830386,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,43,0.3191320300102234,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,44,0.3785807490348816,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,45,0.10963532328605652,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,46,0.17089800536632538,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,47,0.16198872029781342,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,48,0.18029478192329407,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,49,0.1557382047176361,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,50,0.10855647921562196,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,51,0.1940968930721283,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,52,0.2075942307710648,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,53,0.2691995799541473,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,54,0.3052443861961365,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
1,55,0.1974999308586121,NAS,parkinsons,GCP+Initial,3.412684126327278e-05
