seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.4409993290901184,Deepar,solar,GCP+Initial,0.008253085426710834
0,1,7.663370609283447,Deepar,solar,GCP+Initial,0.008253085426710834
0,2,0.42041441798210144,Deepar,solar,GCP+Initial,0.007860783162928278
0,3,31.35310173034668,Deepar,solar,GCP+Initial,0.007860783162928278
0,4,7.663370609283447,Deepar,solar,GCP+Initial,0.007860783162928278
0,5,2.747922420501709,Deepar,solar,GCP+Initial,0.007860783162928278
0,6,4.450395584106445,Deepar,solar,GCP+Initial,0.007860783162928278
0,7,0.4932378232479096,Deepar,solar,GCP+Initial,0.007860783162928278
0,8,1.769436955451965,Deepar,solar,GCP+Initial,0.007860783162928278
0,9,0.5584508776664734,Deepar,solar,GCP+Initial,0.007860783162928278
0,10,2.350260019302368,Deepar,solar,GCP+Initial,0.007860783162928278
0,11,0.6112085580825806,Deepar,solar,GCP+Initial,0.007860783162928278
0,12,0.4932378232479096,Deepar,solar,GCP+Initial,0.007860783162928278
0,13,0.9999438524246216,Deepar,solar,GCP+Initial,0.007860783162928278
0,14,0.6047611236572266,Deepar,solar,GCP+Initial,0.007860783162928278
0,15,0.4667081236839294,Deepar,solar,GCP+Initial,0.007860783162928278
0,16,0.4932378232479096,Deepar,solar,GCP+Initial,0.007860783162928278
0,17,0.4932378232479096,Deepar,solar,GCP+Initial,0.007860783162928278
0,18,2.670010089874268,Deepar,solar,GCP+Initial,0.007860783162928278
0,19,0.5584508776664734,Deepar,solar,GCP+Initial,0.007860783162928278
0,20,0.4932378232479096,Deepar,solar,GCP+Initial,0.007860783162928278
0,21,0.6112085580825806,Deepar,solar,GCP+Initial,0.007860783162928278
0,22,0.9359518885612488,Deepar,solar,GCP+Initial,0.007860783162928278
0,23,0.5433109998703003,Deepar,solar,GCP+Initial,0.007860783162928278
0,24,0.43477118015289307,Deepar,solar,GCP+Initial,0.007860783162928278
0,25,0.5433109998703003,Deepar,solar,GCP+Initial,0.007860783162928278
0,26,0.6110440492630005,Deepar,solar,GCP+Initial,0.007860783162928278
0,27,0.4409993290901184,Deepar,solar,GCP+Initial,0.007860783162928278
0,28,0.4932378232479096,Deepar,solar,GCP+Initial,0.007860783162928278
0,29,0.6047611236572266,Deepar,solar,GCP+Initial,0.007860783162928278
0,30,0.4108835160732269,Deepar,solar,GCP+Initial,0.007679145536459016
0,31,0.42041441798210144,Deepar,solar,GCP+Initial,0.007679145536459016
0,32,0.43477118015289307,Deepar,solar,GCP+Initial,0.007679145536459016
0,33,0.4932378232479096,Deepar,solar,GCP+Initial,0.007679145536459016
0,34,0.4141868054866791,Deepar,solar,GCP+Initial,0.007679145536459016
0,35,0.4667081236839294,Deepar,solar,GCP+Initial,0.007679145536459016
0,36,0.4409993290901184,Deepar,solar,GCP+Initial,0.007679145536459016
0,37,0.4932378232479096,Deepar,solar,GCP+Initial,0.007679145536459016
0,38,0.7854017615318298,Deepar,solar,GCP+Initial,0.007679145536459016
0,39,0.5451458096504211,Deepar,solar,GCP+Initial,0.007679145536459016
0,40,0.3849217891693115,Deepar,solar,GCP+Initial,0.007184373215963355
0,41,0.5584508776664734,Deepar,solar,GCP+Initial,0.007184373215963355
0,42,0.5433109998703003,Deepar,solar,GCP+Initial,0.007184373215963355
0,43,0.43477118015289307,Deepar,solar,GCP+Initial,0.007184373215963355
0,44,0.4932378232479096,Deepar,solar,GCP+Initial,0.007184373215963355
0,45,0.4932378232479096,Deepar,solar,GCP+Initial,0.007184373215963355
0,46,0.4141868054866791,Deepar,solar,GCP+Initial,0.007184373215963355
0,47,0.4409993290901184,Deepar,solar,GCP+Initial,0.007184373215963355
0,48,0.42041441798210144,Deepar,solar,GCP+Initial,0.007184373215963355
0,49,0.4108835160732269,Deepar,solar,GCP+Initial,0.007184373215963355
0,50,0.3849217891693115,Deepar,solar,GCP+Initial,0.007184373215963355
0,51,0.43477118015289307,Deepar,solar,GCP+Initial,0.007184373215963355
0,52,0.4932378232479096,Deepar,solar,GCP+Initial,0.007184373215963355
0,53,0.4932378232479096,Deepar,solar,GCP+Initial,0.007184373215963355
0,54,0.6112085580825806,Deepar,solar,GCP+Initial,0.007184373215963355
0,55,0.4133080542087555,Deepar,solar,GCP+Initial,0.007184373215963355
0,56,0.6047611236572266,Deepar,solar,GCP+Initial,0.007184373215963355
0,57,0.43477118015289307,Deepar,solar,GCP+Initial,0.007184373215963355
0,58,0.4409993290901184,Deepar,solar,GCP+Initial,0.007184373215963355
0,59,0.5433109998703003,Deepar,solar,GCP+Initial,0.007184373215963355
0,60,0.5228133201599121,Deepar,solar,GCP+Initial,0.007184373215963355
0,61,0.3849217891693115,Deepar,solar,GCP+Initial,0.007184373215963355
0,62,0.5584508776664734,Deepar,solar,GCP+Initial,0.007184373215963355
0,63,0.4209463000297545,Deepar,solar,GCP+Initial,0.007184373215963355
0,64,0.4667081236839294,Deepar,solar,GCP+Initial,0.007184373215963355
0,65,0.4932378232479096,Deepar,solar,GCP+Initial,0.007184373215963355
0,66,0.4141868054866791,Deepar,solar,GCP+Initial,0.007184373215963355
0,67,0.4108835160732269,Deepar,solar,GCP+Initial,0.007184373215963355
0,68,0.42041441798210144,Deepar,solar,GCP+Initial,0.007184373215963355
0,69,0.3943388760089874,Deepar,solar,GCP+Initial,0.007184373215963355
1,0,0.5451458096504211,Deepar,solar,GCP+Initial,0.0102378838975131
1,1,0.3849217891693115,Deepar,solar,GCP+Initial,0.007184373215963355
1,2,0.5451458096504211,Deepar,solar,GCP+Initial,0.007184373215963355
