seed,iteration,value,blackbox,task,optimizer,dtm
0,0,60.066666788736974,NAS,ImageNet16-120,GP + prior,0.5791299435874733
0,1,54.76666670735678,NAS,ImageNet16-120,GP + prior,0.5228487491383615
0,2,57.99999994913736,NAS,ImageNet16-120,GP + prior,0.5228487491383615
0,3,57.766666676839186,NAS,ImageNet16-120,GP + prior,0.5228487491383615
0,4,56.66666662597656,NAS,ImageNet16-120,GP + prior,0.5228487491383615
0,5,53.50000011189778,NAS,ImageNet16-120,GP + prior,0.5093978985974957
0,6,54.03333348592122,NAS,ImageNet16-120,GP + prior,0.5093978985974957
0,7,53.466666737874355,NAS,ImageNet16-120,GP + prior,0.5090439283944295
0,8,54.33333331298828,NAS,ImageNet16-120,GP + prior,0.5090439283944295
0,9,53.50000009155274,NAS,ImageNet16-120,GP + prior,0.5090439283944295
0,10,52.80000001017253,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,11,54.60000003051758,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,12,53.1000000406901,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,13,53.46666674804688,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,14,54.0333332824707,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,15,53.23333337402344,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,16,53.666666717529296,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,17,54.800000091552725,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,18,54.80000001017253,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,19,53.86666666666667,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,20,54.20000014241536,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,21,54.43333343505859,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,22,54.53333330281576,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,23,54.43333332316081,NAS,ImageNet16-120,GP + prior,0.5019645323268036
0,24,52.666666727701816,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,25,54.13333341471353,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,26,54.633333302815764,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,27,54.53333348592122,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,28,53.89999996948242,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,29,53.166666656494144,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,30,54.8,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,31,53.666666768391934,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,32,52.96666664632161,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,33,55.03333335367839,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,34,55.1333332824707,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,35,55.73333349609375,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,36,55.16666664632162,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,37,54.96666664632161,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,38,54.766666737874345,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,39,53.20000014241536,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,40,53.76666668701172,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,41,54.4666667175293,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,42,55.40000015258789,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,43,53.93333348592122,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,44,53.73333349609375,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,45,53.73333334350586,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,46,54.50000001017253,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,47,53.33333331298828,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,48,53.10000010172526,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,49,53.8,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,50,53.166666768391934,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,51,53.06666665649414,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,52,53.600000111897785,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,53,54.23333331298828,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,54,55.23333342488608,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,55,55.33333337402344,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,56,55.166666748046865,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,57,56.00000001017253,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,58,55.16666667683919,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,59,55.13333334350586,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,60,54.53333334350586,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,61,54.8333334757487,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,62,53.33333330281575,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,63,54.66666662597656,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,64,54.66666668701172,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,65,53.66666666666666,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,66,54.46666667683919,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,67,55.266666748046866,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,68,53.466666615804044,NAS,ImageNet16-120,GP + prior,0.5005486537830209
0,69,54.23333329264322,NAS,ImageNet16-120,GP + prior,0.5005486537830209
1,0,59.23333333333333,NAS,ImageNet16-120,GP + prior,0.5702806980168376
1,1,57.53333345540364,NAS,ImageNet16-120,GP + prior,0.5522282409934197
1,2,58.39999997965495,NAS,ImageNet16-120,GP + prior,0.5522282409934197
1,3,56.36666670735678,NAS,ImageNet16-120,GP + prior,0.5398392981451322
1,4,63.800000142415364,NAS,ImageNet16-120,GP + prior,0.5398392981451322
1,5,54.60000003051758,NAS,ImageNet16-120,GP + prior,0.5210789001754665
1,6,54.03333345540364,NAS,ImageNet16-120,GP + prior,0.5150614150411089
1,7,53.1000000406901,NAS,ImageNet16-120,GP + prior,0.5051502605896421
1,8,53.86666666666667,NAS,ImageNet16-120,GP + prior,0.5051502605896421
1,9,53.06666665649414,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,10,55.03333335367839,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,11,54.46666667683919,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,12,54.43333332316081,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,13,54.03333348592122,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,14,54.200000091552724,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,15,54.23333331298828,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,16,53.46666674804688,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,17,55.33333337402344,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,18,55.16666664632162,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,19,54.53333334350586,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,20,54.20000014241536,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,21,55.466666798909515,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,22,56.900000010172526,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,23,53.166666768391934,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,24,58.43333332316081,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,25,54.633333302815764,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,26,54.53333348592122,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,27,53.666666717529296,NAS,ImageNet16-120,GP + prior,0.5047962902785527
1,28,52.80000001017253,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,29,54.43333330281576,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,30,54.60000014241537,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,31,55.166666727701816,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,32,54.26666670735678,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,33,55.266666748046866,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,34,55.33333343505859,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,35,54.8,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,36,53.866666737874354,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,37,54.0333332824707,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,38,53.50000011189778,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,39,53.466666737874355,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,40,54.333333292643225,NAS,ImageNet16-120,GP + prior,0.5019645323268036
1,41,53.766666615804034,NAS,ImageNet16-120,GP + prior,0.5019645323268036
