seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.056757999999999975,XGboost,australian,GP + prior,0.1135053620643448
0,1,0.073681,XGboost,australian,GP + prior,0.1135053620643448
0,2,0.04425100000000004,XGboost,australian,GP + prior,0.08849106189274289
0,3,0.047823999999999985,XGboost,australian,GP + prior,0.08849106189274289
0,4,0.05497200000000002,XGboost,australian,GP + prior,0.08849106189274289
0,5,0.05087200000000003,XGboost,australian,GP + prior,0.08849106189274289
0,6,0.04172799999999999,XGboost,australian,GP + prior,0.08344500134001614
0,7,0.05045200000000005,XGboost,australian,GP + prior,0.08344500134001614
0,8,0.046037,XGboost,australian,GP + prior,0.08344500134001614
0,9,0.050031999999999965,XGboost,australian,GP + prior,0.08344500134001614
0,10,0.058544999999999965,XGboost,australian,GP + prior,0.08344500134001614
0,11,0.04582699999999995,XGboost,australian,GP + prior,0.08344500134001614
0,12,0.03910000000000002,XGboost,australian,GP + prior,0.07818893826725933
0,13,0.044460999999999966,XGboost,australian,GP + prior,0.07818893826725933
0,14,0.04015100000000005,XGboost,australian,GP + prior,0.07818893826725933
0,15,0.05108299999999999,XGboost,australian,GP + prior,0.07818893826725933
0,16,0.046458,XGboost,australian,GP + prior,0.07818893826725933
0,17,0.03689299999999995,XGboost,australian,GP + prior,0.07377488529862357
0,18,0.042463999999999946,XGboost,australian,GP + prior,0.07377488529862357
0,19,0.044566,XGboost,australian,GP + prior,0.07377488529862357
0,20,0.04940100000000003,XGboost,australian,GP + prior,0.07377488529862357
0,21,0.05055699999999996,XGboost,australian,GP + prior,0.07377488529862357
0,22,0.05097799999999997,XGboost,australian,GP + prior,0.07377488529862357
0,23,0.05328999999999995,XGboost,australian,GP + prior,0.07377488529862357
0,24,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,25,0.03783899999999996,XGboost,australian,GP + prior,0.06999083989007868
0,26,0.035316000000000014,XGboost,australian,GP + prior,0.06999083989007868
0,27,0.04435599999999995,XGboost,australian,GP + prior,0.06999083989007868
0,28,0.04057200000000005,XGboost,australian,GP + prior,0.06999083989007868
0,29,0.045406999999999975,XGboost,australian,GP + prior,0.06999083989007868
0,30,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,31,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,32,0.04183300000000001,XGboost,australian,GP + prior,0.06999083989007868
0,33,0.04204300000000005,XGboost,australian,GP + prior,0.06999083989007868
0,34,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,35,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,36,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,37,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,38,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,39,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,40,0.03500099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,41,0.03594699999999995,XGboost,australian,GP + prior,0.06999083989007868
0,42,0.04488099999999995,XGboost,australian,GP + prior,0.06999083989007868
0,43,0.04856000000000005,XGboost,australian,GP + prior,0.06999083989007868
0,44,0.045090999999999985,XGboost,australian,GP + prior,0.06999083989007868
0,45,0.045090999999999985,XGboost,australian,GP + prior,0.06999083989007868
0,46,0.04330500000000004,XGboost,australian,GP + prior,0.06999083989007868
0,47,0.040362000000000016,XGboost,australian,GP + prior,0.06999083989007868
0,48,0.03983599999999998,XGboost,australian,GP + prior,0.06999083989007868
0,49,0.04919099999999999,XGboost,australian,GP + prior,0.06999083989007868
0,50,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,51,0.041622999999999966,XGboost,australian,GP + prior,0.06179274151289821
0,52,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,53,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,54,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,55,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,56,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,57,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,58,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,59,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,60,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,61,0.03931099999999999,XGboost,australian,GP + prior,0.06179274151289821
0,62,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,63,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,64,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,65,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,66,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,67,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,68,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
0,69,0.03090199999999998,XGboost,australian,GP + prior,0.06179274151289821
1,0,0.045406999999999975,XGboost,australian,GP + prior,0.09080308963707569
1,1,0.04267399999999999,XGboost,australian,GP + prior,0.0853370240442886
1,2,0.046037,XGboost,australian,GP + prior,0.0853370240442886
1,3,0.040362000000000016,XGboost,australian,GP + prior,0.0807129685556228
1,4,0.05749400000000005,XGboost,australian,GP + prior,0.0807129685556228
1,5,0.04351499999999997,XGboost,australian,GP + prior,0.0807129685556228
1,6,0.05160799999999999,XGboost,australian,GP + prior,0.0807129685556228
1,7,0.043619999999999985,XGboost,australian,GP + prior,0.0807129685556228
1,8,0.04414499999999999,XGboost,australian,GP + prior,0.0807129685556228
1,9,0.05013699999999999,XGboost,australian,GP + prior,0.0807129685556228
1,10,0.04813999999999996,XGboost,australian,GP + prior,0.0807129685556228
1,11,0.077044,XGboost,australian,GP + prior,0.0807129685556228
1,12,0.04078199999999999,XGboost,australian,GP + prior,0.0807129685556228
1,13,0.044566,XGboost,australian,GP + prior,0.0807129685556228
1,14,0.046037,XGboost,australian,GP + prior,0.0807129685556228
1,15,0.038049,XGboost,australian,GP + prior,0.0760869130429566
1,16,0.03868000000000005,XGboost,australian,GP + prior,0.0760869130429566
1,17,0.046668000000000036,XGboost,australian,GP + prior,0.0760869130429566
1,18,0.06516699999999997,XGboost,australian,GP + prior,0.0760869130429566
1,19,0.04961099999999996,XGboost,australian,GP + prior,0.0760869130429566
1,20,0.04120199999999996,XGboost,australian,GP + prior,0.0760869130429566
1,21,0.036051999999999966,XGboost,australian,GP + prior,0.0720928651143814
1,22,0.03510599999999997,XGboost,australian,GP + prior,0.07020084241010896
1,23,0.041622999999999966,XGboost,australian,GP + prior,0.07020084241010896
1,24,0.04057200000000005,XGboost,australian,GP + prior,0.07020084241010896
1,25,0.04120199999999996,XGboost,australian,GP + prior,0.07020084241010896
1,26,0.04729899999999998,XGboost,australian,GP + prior,0.07020084241010896
1,27,0.04803400000000002,XGboost,australian,GP + prior,0.07020084241010896
1,28,0.044460999999999966,XGboost,australian,GP + prior,0.07020084241010896
1,29,0.03868000000000005,XGboost,australian,GP + prior,0.07020084241010896
1,30,0.03783899999999996,XGboost,australian,GP + prior,0.07020084241010896
1,31,0.039941,XGboost,australian,GP + prior,0.07020084241010896
1,32,0.04057200000000005,XGboost,australian,GP + prior,0.07020084241010896
1,33,0.04319899999999999,XGboost,australian,GP + prior,0.07020084241010896
1,34,0.059595999999999975,XGboost,australian,GP + prior,0.07020084241010896
1,35,0.04057200000000005,XGboost,australian,GP + prior,0.07020084241010896
1,36,0.05108299999999999,XGboost,australian,GP + prior,0.07020084241010896
1,37,0.035316000000000014,XGboost,australian,GP + prior,0.07020084241010896
1,38,0.04057200000000005,XGboost,australian,GP + prior,0.07020084241010896
1,39,0.03594699999999995,XGboost,australian,GP + prior,0.07020084241010896
1,40,0.04078199999999999,XGboost,australian,GP + prior,0.07020084241010896
1,41,0.05244899999999997,XGboost,australian,GP + prior,0.07020084241010896
1,42,0.038049,XGboost,australian,GP + prior,0.07020084241010896
1,43,0.03510599999999997,XGboost,australian,GP + prior,0.07020084241010896
1,44,0.05192300000000005,XGboost,australian,GP + prior,0.07020084241010896
1,45,0.04204300000000005,XGboost,australian,GP + prior,0.07020084241010896
1,46,0.041518000000000055,XGboost,australian,GP + prior,0.07020084241010896
