seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.255626,XGboost,german.numer,GP + prior,0.5112461349536195
0,1,0.25602100000000005,XGboost,german.numer,GP + prior,0.5112461349536195
0,2,0.25753400000000004,XGboost,german.numer,GP + prior,0.5112461349536195
0,3,0.23825500000000002,XGboost,german.numer,GP + prior,0.4765037180446166
0,4,0.23924199999999995,XGboost,german.numer,GP + prior,0.4765037180446166
0,5,0.23884700000000006,XGboost,german.numer,GP + prior,0.4765037180446166
0,6,0.252402,XGboost,german.numer,GP + prior,0.4765037180446166
0,7,0.29240700000000003,XGboost,german.numer,GP + prior,0.4765037180446166
0,8,0.24970400000000004,XGboost,german.numer,GP + prior,0.4765037180446166
0,9,0.238058,XGboost,german.numer,GP + prior,0.4761097133165598
0,10,0.25773100000000004,XGboost,german.numer,GP + prior,0.4761097133165598
0,11,0.250493,XGboost,german.numer,GP + prior,0.4761097133165598
0,12,0.26056100000000004,XGboost,german.numer,GP + prior,0.4761097133165598
0,13,0.24213700000000005,XGboost,german.numer,GP + prior,0.4761097133165598
0,14,0.248717,XGboost,german.numer,GP + prior,0.4761097133165598
0,15,0.27753700000000003,XGboost,german.numer,GP + prior,0.4761097133165598
0,16,0.238058,XGboost,german.numer,GP + prior,0.4761097133165598
0,17,0.257271,XGboost,german.numer,GP + prior,0.4761097133165598
0,18,0.236347,XGboost,german.numer,GP + prior,0.4726876722520671
0,19,0.24812500000000004,XGboost,german.numer,GP + prior,0.4726876722520671
0,20,0.246348,XGboost,german.numer,GP + prior,0.4726876722520671
0,21,0.25108600000000003,XGboost,german.numer,GP + prior,0.4726876722520671
0,22,0.237005,XGboost,german.numer,GP + prior,0.4726876722520671
0,23,0.25213800000000003,XGboost,german.numer,GP + prior,0.4726876722520671
0,24,0.233057,XGboost,german.numer,GP + prior,0.4661075932911195
0,25,0.241216,XGboost,german.numer,GP + prior,0.4661075932911195
0,26,0.245559,XGboost,german.numer,GP + prior,0.4661075932911195
0,27,0.250691,XGboost,german.numer,GP + prior,0.4661075932911195
0,28,0.22976700000000005,XGboost,german.numer,GP + prior,0.45952751433017214
0,29,0.253652,XGboost,german.numer,GP + prior,0.45952751433017214
0,30,0.242269,XGboost,german.numer,GP + prior,0.45952751433017214
0,31,0.23411000000000004,XGboost,german.numer,GP + prior,0.45952751433017214
0,32,0.24522999999999995,XGboost,german.numer,GP + prior,0.45952751433017214
0,33,0.24529500000000004,XGboost,german.numer,GP + prior,0.45952751433017214
0,34,0.25266500000000003,XGboost,german.numer,GP + prior,0.45952751433017214
0,35,0.251217,XGboost,german.numer,GP + prior,0.45952751433017214
0,36,0.22377899999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,37,0.255363,XGboost,german.numer,GP + prior,0.44755137061644734
0,38,0.22377899999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,39,0.22377899999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,40,0.269049,XGboost,german.numer,GP + prior,0.44755137061644734
0,41,0.22377899999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,42,0.25569200000000003,XGboost,german.numer,GP + prior,0.44755137061644734
0,43,0.22377899999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,44,0.247993,XGboost,german.numer,GP + prior,0.44755137061644734
0,45,0.22377899999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,46,0.22377899999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,47,0.26424499999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,48,0.24786200000000005,XGboost,german.numer,GP + prior,0.44755137061644734
0,49,0.22377899999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,50,0.22377899999999995,XGboost,german.numer,GP + prior,0.44755137061644734
0,51,0.240887,XGboost,german.numer,GP + prior,0.44755137061644734
0,52,0.244111,XGboost,german.numer,GP + prior,0.44755137061644734
0,53,0.261613,XGboost,german.numer,GP + prior,0.44755137061644734
0,54,0.286353,XGboost,german.numer,GP + prior,0.44755137061644734
0,55,0.236281,XGboost,german.numer,GP + prior,0.44755137061644734
0,56,0.2391760000000001,XGboost,german.numer,GP + prior,0.44755137061644734
