seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.0557139664888382,Deepar,m4-Daily,GP + prior,0.0009104100487297807
0,1,0.02700212597846985,Deepar,m4-Daily,GP + prior,0.0003632267273894018
0,2,0.04254775866866112,Deepar,m4-Daily,GP + prior,0.0003632267273894018
0,3,0.02390990220010281,Deepar,m4-Daily,GP + prior,0.00030429587352221225
0,4,0.028934273868799213,Deepar,m4-Daily,GP + prior,0.00030429587352221225
0,5,0.025402652099728584,Deepar,m4-Daily,GP + prior,0.00030429587352221225
0,6,0.021643975749611855,Deepar,m4-Daily,GP + prior,0.00026111239454443947
0,7,0.03289709985256195,Deepar,m4-Daily,GP + prior,0.00026111239454443947
0,8,0.03245377540588379,Deepar,m4-Daily,GP + prior,0.00026111239454443947
0,9,0.022526685148477558,Deepar,m4-Daily,GP + prior,0.00026111239454443947
0,10,0.049650490283966064,Deepar,m4-Daily,GP + prior,0.00026111239454443947
0,11,0.02145757339894772,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,12,0.02844749577343464,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,13,0.02352687157690525,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,14,0.031555037945508964,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,15,0.02632925286889076,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,16,0.03322836756706238,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,17,0.02474764361977577,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,18,0.022029003128409386,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,19,0.021852469071745872,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,20,0.02215744368731976,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,21,0.02973812818527222,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,22,0.02457542903721333,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,23,0.02730727568268776,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,24,0.02902083843946457,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,25,0.02867029048502445,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,26,0.027167005464434624,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,27,0.026315072551369667,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,28,0.027564816176891327,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,29,0.02606768533587456,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,30,0.03557517006993294,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,31,0.02145757339894772,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,32,0.025766827166080475,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,33,0.062279026955366135,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,34,0.026446260511875156,Deepar,m4-Daily,GP + prior,0.00025755998356941946
0,35,0.02116728387773037,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,36,0.022666700184345245,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,37,0.03085238486528397,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,38,0.0385018102824688,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,39,0.023796029388904568,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,40,0.0249059647321701,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,41,0.047893565148115165,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,42,0.02675456926226616,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,43,0.045331217348575585,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,44,0.03495771437883377,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,45,0.022262787446379658,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,46,0.04314611852169037,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,47,0.03479201346635818,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,48,0.030590139329433438,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,49,0.022978149354457852,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,50,0.0402364656329155,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,51,0.03345949202775955,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,52,0.056800942867994315,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,53,0.02145757339894772,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,54,0.02145757339894772,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,55,0.04169102385640144,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,56,0.021852469071745872,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,57,0.027763310819864277,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,58,0.02852582931518555,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,59,0.03161430358886719,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,60,0.04840080440044403,Deepar,m4-Daily,GP + prior,0.00025202771599107816
0,61,0.03116196393966675,Deepar,m4-Daily,GP + prior,0.00025202771599107816
