seed,iteration,value,blackbox,task,optimizer,dtm
0,0,8.799999999997699e-05,XGboost,skin_nonskin,GP + prior,0.00016400196802366927
0,1,0.014705999999999997,XGboost,skin_nonskin,GP + prior,0.00016400196802366927
0,2,7.699999999999374e-05,XGboost,skin_nonskin,GP + prior,0.00014200170402053474
0,3,0.0002929999999999877,XGboost,skin_nonskin,GP + prior,0.00014200170402053474
0,4,0.013758999999999966,XGboost,skin_nonskin,GP + prior,0.00014200170402053474
0,5,1.8999999999991246e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,6,9.40000000000385e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,7,0.00016700000000002824,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,8,3.2000000000032e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,9,2.1999999999966487e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,10,2.4000000000024e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,11,2.1999999999966487e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,12,5.80000000000025e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,13,2.100000000004876e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,14,2.5000000000052758e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,15,2.1999999999966487e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,16,2.299999999999525e-05,XGboost,skin_nonskin,GP + prior,2.600031200382556e-05
0,17,1.0999999999983244e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,18,2.100000000004876e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,19,5.200000000005201e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,20,2.8000000000028002e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,21,0.00015299999999995872,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,22,0.00021400000000004749,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,23,2.100000000004876e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,24,5.299999999996974e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,25,1.799999999996249e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,26,2.5000000000052758e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,27,2.8999999999945732e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,28,1.799999999996249e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,29,2.699999999999925e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,30,2.9999999999974488e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,31,1.4999999999987244e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,32,7.900000000005125e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,33,5.39999999999985e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,34,3.900000000001125e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,35,1.4999999999987244e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,36,4.099999999995774e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,37,3.900000000001125e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,38,4.3000000000015255e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,39,8.600000000003051e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,40,3.2000000000032e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,41,9.800000000004251e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,42,3.399999999997849e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,43,2.699999999999925e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,44,8.20000000000265e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,45,8.699999999994823e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,46,1.8999999999991246e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,47,9.300000000000974e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,48,1.0999999999983244e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,49,6.399999999995298e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,50,3.399999999997849e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,51,3.2000000000032e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,52,3.100000000000325e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,53,6.20000000000065e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,54,2.8000000000028002e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,55,2.8000000000028002e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,56,7.900000000005125e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,57,4.499999999996174e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,58,0.000195999999999974,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,59,1.799999999996249e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,60,0.00016199999999999548,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,61,5.200000000005201e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,62,0.00014000000000002902,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,63,0.00011700000000003374,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,64,2.599999999997049e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,65,4.0000000000040004e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,66,4.099999999995774e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,67,0.00017999999999995797,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,68,0.00014700000000000826,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
0,69,1.3000000000040755e-05,XGboost,skin_nonskin,GP + prior,1.0000120001505526e-05
1,0,0.016127000000000002,XGboost,skin_nonskin,GP + prior,0.032242386908643006
1,1,0.00015399999999998748,XGboost,skin_nonskin,GP + prior,0.0002960035520426985
1,2,0.038125999999999986,XGboost,skin_nonskin,GP + prior,0.0002960035520426985
1,3,0.04305499999999995,XGboost,skin_nonskin,GP + prior,0.0002960035520426985
1,4,0.042966999999999984,XGboost,skin_nonskin,GP + prior,0.0002960035520426985
1,5,0.00011700000000003374,XGboost,skin_nonskin,GP + prior,0.00022200266403213487
1,6,1.6000000000016e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,7,2.5000000000052758e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,8,2.5000000000052758e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,9,0.00017000000000000348,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,10,2.1999999999966487e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,11,7.599999999996498e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,12,0.00014000000000002902,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,13,9.499999999995624e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,14,9.1999999999981e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,15,3.2000000000032e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,16,4.099999999995774e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,17,0.00010299999999996424,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,18,0.00014700000000000826,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,19,0.0001020000000000465,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,20,0.00011700000000003374,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,21,3.2000000000032e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,22,1.7000000000044754e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,23,3.6000000000035996e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,24,1.6000000000016e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,25,0.00011499999999997625,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,26,3.2999999999949736e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,27,3.2000000000032e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,28,2.299999999999525e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,29,1.8999999999991246e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,30,2.1999999999966487e-05,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,31,0.00011700000000003374,XGboost,skin_nonskin,GP + prior,2.0000240003011058e-05
1,32,9.999999999954491e-06,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,33,1.8999999999991246e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,34,4.899999999996574e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,35,1.799999999996249e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,36,6.099999999997773e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,37,1.2000000000012e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,38,7.100000000004325e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,39,5.500000000002725e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,40,0.00012699999999998823,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,41,2.100000000004876e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,42,6.20000000000065e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,43,7.699999999999374e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,44,4.499999999996174e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,45,1.3000000000040755e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,46,2.1999999999966487e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,47,2.4000000000024e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,48,1.2000000000012e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,49,2.9999999999974488e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,50,2.299999999999525e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,51,3.6000000000035996e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,52,1.7000000000044754e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,53,4.099999999995774e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,54,0.00010900000000002574,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,55,7.80000000000225e-05,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,56,0.00013700000000005377,XGboost,skin_nonskin,GP + prior,8.000096001160017e-06
1,57,5.999999999950489e-06,XGboost,skin_nonskin,GP + prior,0.0
1,58,0.000107999999999997,XGboost,skin_nonskin,GP + prior,0.0
1,59,3.399999999997849e-05,XGboost,skin_nonskin,GP + prior,0.0
1,60,0.00025900000000000917,XGboost,skin_nonskin,GP + prior,0.0
1,61,4.8000000000048e-05,XGboost,skin_nonskin,GP + prior,0.0
1,62,7.199999999996097e-05,XGboost,skin_nonskin,GP + prior,0.0
1,63,0.00017999999999995797,XGboost,skin_nonskin,GP + prior,0.0
1,64,2.8999999999945732e-05,XGboost,skin_nonskin,GP + prior,0.0
1,65,8.500000000000174e-05,XGboost,skin_nonskin,GP + prior,0.0
1,66,9.499999999995624e-05,XGboost,skin_nonskin,GP + prior,0.0
1,67,3.100000000000325e-05,XGboost,skin_nonskin,GP + prior,0.0
1,68,2.0000000000020002e-05,XGboost,skin_nonskin,GP + prior,0.0
1,69,2.699999999999925e-05,XGboost,skin_nonskin,GP + prior,0.0
