seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.28370314836502075,Fcnet,slice,GP + prior,0.0003049856963339767
0,1,0.004244805313646793,Fcnet,slice,GP + prior,4.529441947664614e-06
0,2,0.0011201333254575732,Fcnet,slice,GP + prior,1.1699886870955582e-06
0,3,0.002926595509052277,Fcnet,slice,GP + prior,1.1699886870955582e-06
0,4,0.0039624059572815895,Fcnet,slice,GP + prior,1.1699886870955582e-06
0,5,0.0002956983516924083,Fcnet,slice,GP + prior,2.836074057286177e-07
0,6,0.00028846791246905923,Fcnet,slice,GP + prior,2.758336865299177e-07
0,7,0.0003271509776823222,Fcnet,slice,GP + prior,2.758336865299177e-07
0,8,0.000365267158485949,Fcnet,slice,GP + prior,2.758336865299177e-07
0,9,0.0003981679910793901,Fcnet,slice,GP + prior,2.758336865299177e-07
0,10,0.0003086863434873521,Fcnet,slice,GP + prior,2.758336865299177e-07
0,11,0.00029924308182671666,Fcnet,slice,GP + prior,2.758336865299177e-07
0,12,0.00031953337020240724,Fcnet,slice,GP + prior,2.758336865299177e-07
0,13,0.0003313184133730829,Fcnet,slice,GP + prior,2.758336865299177e-07
0,14,0.00037042552139610047,Fcnet,slice,GP + prior,2.758336865299177e-07
0,15,0.00037313514621928334,Fcnet,slice,GP + prior,2.758336865299177e-07
0,16,0.00030556367710232735,Fcnet,slice,GP + prior,2.758336865299177e-07
0,17,0.00031259068055078387,Fcnet,slice,GP + prior,2.758336865299177e-07
0,18,0.00028498994652181864,Fcnet,slice,GP + prior,2.720943935462799e-07
0,19,0.000401329540181905,Fcnet,slice,GP + prior,2.720943935462799e-07
0,20,0.0003456119738984853,Fcnet,slice,GP + prior,2.720943935462799e-07
0,21,0.0003119838074781001,Fcnet,slice,GP + prior,2.720943935462799e-07
0,22,0.00032438518246635795,Fcnet,slice,GP + prior,2.720943935462799e-07
0,23,0.0003119359898846596,Fcnet,slice,GP + prior,2.720943935462799e-07
0,24,0.00047393052955158055,Fcnet,slice,GP + prior,2.720943935462799e-07
0,25,0.00028758659027516836,Fcnet,slice,GP + prior,2.720943935462799e-07
0,26,0.000326179841067642,Fcnet,slice,GP + prior,2.720943935462799e-07
0,27,0.00035232145455665886,Fcnet,slice,GP + prior,2.720943935462799e-07
0,28,0.0004036769096273929,Fcnet,slice,GP + prior,2.720943935462799e-07
0,29,0.00037329315091483295,Fcnet,slice,GP + prior,2.720943935462799e-07
0,30,0.0004014562291558832,Fcnet,slice,GP + prior,2.720943935462799e-07
0,31,0.00033860543044283986,Fcnet,slice,GP + prior,2.720943935462799e-07
0,32,0.00042374694021418685,Fcnet,slice,GP + prior,2.720943935462799e-07
0,33,0.0007192289922386407,Fcnet,slice,GP + prior,2.720943935462799e-07
0,34,0.0003191479190718382,Fcnet,slice,GP + prior,2.720943935462799e-07
0,35,0.00035337908775545657,Fcnet,slice,GP + prior,2.720943935462799e-07
0,36,0.0007433202117681503,Fcnet,slice,GP + prior,2.720943935462799e-07
0,37,0.00030332274036481977,Fcnet,slice,GP + prior,2.720943935462799e-07
0,38,0.0003882440505549312,Fcnet,slice,GP + prior,2.720943935462799e-07
0,39,0.0010360333835706117,Fcnet,slice,GP + prior,2.720943935462799e-07
0,40,0.0002799587382469326,Fcnet,slice,GP + prior,2.6668515087775176e-07
0,41,0.00027010074700228864,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,42,0.0006122679333202541,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,43,0.00040228530997410417,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,44,0.00032872625160962343,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,45,0.001040459843352437,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,46,0.0005721177440136671,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,47,0.0003984413342550397,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,48,0.00031942393979988987,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,49,0.0004167035804130137,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,50,0.0008326173410750926,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,51,0.0008261105394922197,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,52,0.0003340630501043052,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,53,0.000643875973764807,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,54,0.0002753111184574664,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,55,0.00028903534985147417,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,56,0.0004021485219709575,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,57,0.0007981740054674448,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,58,0.0007771519012749195,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,59,0.000751100480556488,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,60,0.0006347181042656302,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,61,0.0003008183848578483,Fcnet,slice,GP + prior,2.5608645093271456e-07
0,62,0.0005062395939603448,Fcnet,slice,GP + prior,2.5608645093271456e-07
