seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.42372971773147583,Deepar,solar,GP + prior,0.007923965344768781
0,1,0.4152029752731323,Deepar,solar,GP + prior,0.007761464746561378
0,2,0.356892853975296,Deepar,solar,GP + prior,0.0066502045391919305
0,3,0.4123436510562897,Deepar,solar,GP + prior,0.0066502045391919305
0,4,0.3992920815944672,Deepar,solar,GP + prior,0.0066502045391919305
0,5,0.3641470670700073,Deepar,solar,GP + prior,0.0066502045391919305
0,6,0.4109798967838288,Deepar,solar,GP + prior,0.0066502045391919305
0,7,0.3838948309421539,Deepar,solar,GP + prior,0.0066502045391919305
0,8,0.5181410312652588,Deepar,solar,GP + prior,0.0066502045391919305
0,9,0.3753143846988678,Deepar,solar,GP + prior,0.0066502045391919305
0,10,0.3391062021255493,Deepar,solar,GP + prior,0.006311230824457245
0,11,0.413711816072464,Deepar,solar,GP + prior,0.006311230824457245
0,12,0.3668411076068878,Deepar,solar,GP + prior,0.006311230824457245
0,13,0.32961422204971313,Deepar,solar,GP + prior,0.006130334960880782
0,14,0.32961422204971313,Deepar,solar,GP + prior,0.006130334960880782
0,15,0.3732098340988159,Deepar,solar,GP + prior,0.006130334960880782
0,16,0.3423202931880951,Deepar,solar,GP + prior,0.006130334960880782
0,17,0.3997767567634583,Deepar,solar,GP + prior,0.006130334960880782
0,18,0.407823383808136,Deepar,solar,GP + prior,0.006130334960880782
0,19,0.4824007749557495,Deepar,solar,GP + prior,0.006130334960880782
0,20,0.38151589035987854,Deepar,solar,GP + prior,0.006130334960880782
0,21,0.3859312534332275,Deepar,solar,GP + prior,0.006130334960880782
0,22,0.4720398485660553,Deepar,solar,GP + prior,0.006130334960880782
0,23,0.365592896938324,Deepar,solar,GP + prior,0.006130334960880782
0,24,0.3714300394058228,Deepar,solar,GP + prior,0.006130334960880782
0,25,0.5497932434082031,Deepar,solar,GP + prior,0.006130334960880782
0,26,0.3246532380580902,Deepar,solar,GP + prior,0.006035789726252846
0,27,0.3372531533241272,Deepar,solar,GP + prior,0.006035789726252846
0,28,0.35358622670173645,Deepar,solar,GP + prior,0.006035789726252846
0,29,0.3878770172595978,Deepar,solar,GP + prior,0.006035789726252846
0,30,0.3933946192264557,Deepar,solar,GP + prior,0.006035789726252846
0,31,0.37472811341285706,Deepar,solar,GP + prior,0.006035789726252846
0,32,0.4743683636188507,Deepar,solar,GP + prior,0.006035789726252846
0,33,0.3717464804649353,Deepar,solar,GP + prior,0.006035789726252846
0,34,0.739816427230835,Deepar,solar,GP + prior,0.006035789726252846
0,35,0.34373217821121216,Deepar,solar,GP + prior,0.006035789726252846
0,36,0.4036671817302704,Deepar,solar,GP + prior,0.006035789726252846
0,37,0.421274334192276,Deepar,solar,GP + prior,0.006035789726252846
0,38,0.4034104943275452,Deepar,solar,GP + prior,0.006035789726252846
0,39,0.3578759431838989,Deepar,solar,GP + prior,0.006035789726252846
0,40,0.5451458096504211,Deepar,solar,GP + prior,0.006035789726252846
0,41,0.4330953061580658,Deepar,solar,GP + prior,0.006035789726252846
0,42,0.3831082582473755,Deepar,solar,GP + prior,0.006035789726252846
0,43,0.3548218011856079,Deepar,solar,GP + prior,0.006035789726252846
0,44,0.33854395151138306,Deepar,solar,GP + prior,0.006035789726252846
0,45,0.37466612458229065,Deepar,solar,GP + prior,0.006035789726252846
0,46,0.3676202893257141,Deepar,solar,GP + prior,0.006035789726252846
0,47,0.4904961585998535,Deepar,solar,GP + prior,0.006035789726252846
0,48,0.3819331526756287,Deepar,solar,GP + prior,0.006035789726252846
0,49,0.36261722445487976,Deepar,solar,GP + prior,0.006035789726252846
0,50,0.4124871790409088,Deepar,solar,GP + prior,0.006035789726252846
0,51,0.3588663637638092,Deepar,solar,GP + prior,0.006035789726252846
0,52,0.3832840919494629,Deepar,solar,GP + prior,0.006035789726252846
0,53,0.4305948317050934,Deepar,solar,GP + prior,0.006035789726252846
0,54,0.366536945104599,Deepar,solar,GP + prior,0.006035789726252846
0,55,0.3624652624130249,Deepar,solar,GP + prior,0.006035789726252846
0,56,0.35531365871429443,Deepar,solar,GP + prior,0.006035789726252846
