seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.004278000000000004,XGboost,svmguide1,GP + prior,0.008544102529230458
0,1,0.006879999999999997,XGboost,svmguide1,GP + prior,0.008544102529230458
0,2,0.004449999999999954,XGboost,svmguide1,GP + prior,0.008544102529230458
0,3,0.0039850000000000154,XGboost,svmguide1,GP + prior,0.007958095497146095
0,4,0.004260999999999959,XGboost,svmguide1,GP + prior,0.007958095497146095
0,5,0.005404999999999993,XGboost,svmguide1,GP + prior,0.007958095497146095
0,6,0.004726000000000008,XGboost,svmguide1,GP + prior,0.007958095497146095
0,7,0.004051000000000028,XGboost,svmguide1,GP + prior,0.007958095497146095
0,8,0.0048639999999999795,XGboost,svmguide1,GP + prior,0.007958095497146095
0,9,0.004426000000000041,XGboost,svmguide1,GP + prior,0.007958095497146095
0,10,0.00429400000000002,XGboost,svmguide1,GP + prior,0.007958095497146095
0,11,0.004740999999999995,XGboost,svmguide1,GP + prior,0.007958095497146095
0,12,0.00389600000000001,XGboost,svmguide1,GP + prior,0.007780093361120452
0,13,0.004083999999999977,XGboost,svmguide1,GP + prior,0.007780093361120452
0,14,0.004287000000000041,XGboost,svmguide1,GP + prior,0.007780093361120452
0,15,0.0043159999999999865,XGboost,svmguide1,GP + prior,0.007780093361120452
0,16,0.004229000000000038,XGboost,svmguide1,GP + prior,0.007780093361120452
0,17,0.004118999999999985,XGboost,svmguide1,GP + prior,0.007780093361120452
0,18,0.003874999999999962,XGboost,svmguide1,GP + prior,0.007738092857114307
0,19,0.004468000000000028,XGboost,svmguide1,GP + prior,0.007738092857114307
0,20,0.0040170000000000474,XGboost,svmguide1,GP + prior,0.007738092857114307
0,21,0.005395999999999956,XGboost,svmguide1,GP + prior,0.007738092857114307
0,22,0.003947999999999952,XGboost,svmguide1,GP + prior,0.007738092857114307
0,23,0.0038850000000000273,XGboost,svmguide1,GP + prior,0.007738092857114307
0,24,0.004122999999999989,XGboost,svmguide1,GP + prior,0.007738092857114307
0,25,0.003970999999999947,XGboost,svmguide1,GP + prior,0.007738092857114307
0,26,0.004276999999999975,XGboost,svmguide1,GP + prior,0.007738092857114307
0,27,0.004001000000000032,XGboost,svmguide1,GP + prior,0.007738092857114307
0,28,0.004020000000000024,XGboost,svmguide1,GP + prior,0.007738092857114307
0,29,0.004001000000000032,XGboost,svmguide1,GP + prior,0.007738092857114307
0,30,0.004562999999999985,XGboost,svmguide1,GP + prior,0.007738092857114307
0,31,0.0038930000000000353,XGboost,svmguide1,GP + prior,0.007738092857114307
0,32,0.004218000000000055,XGboost,svmguide1,GP + prior,0.007738092857114307
0,33,0.004157999999999995,XGboost,svmguide1,GP + prior,0.007738092857114307
0,34,0.004078000000000026,XGboost,svmguide1,GP + prior,0.007738092857114307
0,35,0.00424100000000005,XGboost,svmguide1,GP + prior,0.007738092857114307
0,36,0.004634000000000027,XGboost,svmguide1,GP + prior,0.007738092857114307
0,37,0.005356000000000027,XGboost,svmguide1,GP + prior,0.007738092857114307
0,38,0.004210000000000047,XGboost,svmguide1,GP + prior,0.007738092857114307
0,39,0.00398900000000002,XGboost,svmguide1,GP + prior,0.007738092857114307
0,40,0.004210999999999965,XGboost,svmguide1,GP + prior,0.007738092857114307
0,41,0.004020000000000024,XGboost,svmguide1,GP + prior,0.007738092857114307
0,42,0.005064999999999986,XGboost,svmguide1,GP + prior,0.007738092857114307
0,43,0.004715000000000025,XGboost,svmguide1,GP + prior,0.007738092857114307
0,44,0.005368999999999957,XGboost,svmguide1,GP + prior,0.007738092857114307
0,45,0.0041679999999999495,XGboost,svmguide1,GP + prior,0.007738092857114307
0,46,0.004133999999999971,XGboost,svmguide1,GP + prior,0.007738092857114307
0,47,0.003910999999999998,XGboost,svmguide1,GP + prior,0.007738092857114307
0,48,0.004268999999999967,XGboost,svmguide1,GP + prior,0.007738092857114307
0,49,0.004434999999999968,XGboost,svmguide1,GP + prior,0.007738092857114307
0,50,0.003759999999999985,XGboost,svmguide1,GP + prior,0.007508090097081234
0,51,0.0039160000000000314,XGboost,svmguide1,GP + prior,0.007508090097081234
0,52,0.004174000000000011,XGboost,svmguide1,GP + prior,0.007508090097081234
0,53,0.0041480000000000405,XGboost,svmguide1,GP + prior,0.007508090097081234
0,54,0.003839000000000037,XGboost,svmguide1,GP + prior,0.007508090097081234
0,55,0.00395599999999996,XGboost,svmguide1,GP + prior,0.007508090097081234
0,56,0.004205000000000014,XGboost,svmguide1,GP + prior,0.007508090097081234
0,57,0.003974999999999951,XGboost,svmguide1,GP + prior,0.007508090097081234
0,58,0.004028000000000032,XGboost,svmguide1,GP + prior,0.007508090097081234
0,59,0.004541000000000017,XGboost,svmguide1,GP + prior,0.007508090097081234
0,60,0.004905999999999966,XGboost,svmguide1,GP + prior,0.007508090097081234
0,61,0.0039489999999999794,XGboost,svmguide1,GP + prior,0.007508090097081234
0,62,0.003897999999999957,XGboost,svmguide1,GP + prior,0.007508090097081234
0,63,0.004141999999999979,XGboost,svmguide1,GP + prior,0.007508090097081234
0,64,0.003916999999999947,XGboost,svmguide1,GP + prior,0.007508090097081234
0,65,0.004014999999999991,XGboost,svmguide1,GP + prior,0.007508090097081234
0,66,0.003836999999999979,XGboost,svmguide1,GP + prior,0.007508090097081234
0,67,0.004020000000000024,XGboost,svmguide1,GP + prior,0.007508090097081234
0,68,0.004430000000000045,XGboost,svmguide1,GP + prior,0.007508090097081234
0,69,0.003866999999999954,XGboost,svmguide1,GP + prior,0.007508090097081234
1,0,0.003910999999999998,XGboost,svmguide1,GP + prior,0.007810093721124747
1,1,0.004206999999999961,XGboost,svmguide1,GP + prior,0.007810093721124747
1,2,0.006314000000000042,XGboost,svmguide1,GP + prior,0.007810093721124747
1,3,0.004314999999999958,XGboost,svmguide1,GP + prior,0.007810093721124747
1,4,0.004129999999999967,XGboost,svmguide1,GP + prior,0.007810093721124747
1,5,0.005164999999999975,XGboost,svmguide1,GP + prior,0.007810093721124747
1,6,0.004036999999999957,XGboost,svmguide1,GP + prior,0.007810093721124747
1,7,0.005380999999999969,XGboost,svmguide1,GP + prior,0.007810093721124747
1,8,0.004214000000000051,XGboost,svmguide1,GP + prior,0.007810093721124747
1,9,0.0039240000000000394,XGboost,svmguide1,GP + prior,0.007810093721124747
1,10,0.003798999999999997,XGboost,svmguide1,GP + prior,0.007586091033092489
1,11,0.004268999999999967,XGboost,svmguide1,GP + prior,0.007586091033092489
1,12,0.003665999999999947,XGboost,svmguide1,GP + prior,0.007320087841054085
1,13,0.0040320000000000356,XGboost,svmguide1,GP + prior,0.007320087841054085
1,14,0.00411499999999998,XGboost,svmguide1,GP + prior,0.007320087841054085
1,15,0.004013999999999962,XGboost,svmguide1,GP + prior,0.007320087841054085
1,16,0.003832999999999975,XGboost,svmguide1,GP + prior,0.007320087841054085
1,17,0.004692999999999947,XGboost,svmguide1,GP + prior,0.007320087841054085
1,18,0.003824000000000049,XGboost,svmguide1,GP + prior,0.007320087841054085
1,19,0.004467,XGboost,svmguide1,GP + prior,0.007320087841054085
1,20,0.003739000000000048,XGboost,svmguide1,GP + prior,0.007320087841054085
1,21,0.004271000000000025,XGboost,svmguide1,GP + prior,0.007320087841054085
1,22,0.00419499999999995,XGboost,svmguide1,GP + prior,0.007320087841054085
1,23,0.0041120000000000045,XGboost,svmguide1,GP + prior,0.007320087841054085
1,24,0.004039000000000015,XGboost,svmguide1,GP + prior,0.007320087841054085
1,25,0.004545000000000021,XGboost,svmguide1,GP + prior,0.007320087841054085
1,26,0.004136999999999946,XGboost,svmguide1,GP + prior,0.007320087841054085
1,27,0.0039719999999999756,XGboost,svmguide1,GP + prior,0.007320087841054085
1,28,0.003917999999999977,XGboost,svmguide1,GP + prior,0.007320087841054085
1,29,0.003900000000000015,XGboost,svmguide1,GP + prior,0.007320087841054085
1,30,0.004290000000000016,XGboost,svmguide1,GP + prior,0.007320087841054085
1,31,0.004276999999999975,XGboost,svmguide1,GP + prior,0.007320087841054085
1,32,0.0037129999999999663,XGboost,svmguide1,GP + prior,0.007320087841054085
1,33,0.004781999999999953,XGboost,svmguide1,GP + prior,0.007320087841054085
1,34,0.004499999999999949,XGboost,svmguide1,GP + prior,0.007320087841054085
1,35,0.004094000000000042,XGboost,svmguide1,GP + prior,0.007320087841054085
1,36,0.0036969999999999508,XGboost,svmguide1,GP + prior,0.007320087841054085
1,37,0.004036999999999957,XGboost,svmguide1,GP + prior,0.007320087841054085
1,38,0.00395599999999996,XGboost,svmguide1,GP + prior,0.007320087841054085
1,39,0.0041679999999999495,XGboost,svmguide1,GP + prior,0.007320087841054085
1,40,0.003820000000000045,XGboost,svmguide1,GP + prior,0.007320087841054085
1,41,0.0039639999999999675,XGboost,svmguide1,GP + prior,0.007320087841054085
1,42,0.003937999999999997,XGboost,svmguide1,GP + prior,0.007320087841054085
1,43,0.003962000000000021,XGboost,svmguide1,GP + prior,0.007320087841054085
1,44,0.003808999999999951,XGboost,svmguide1,GP + prior,0.007320087841054085
1,45,0.0037719999999999976,XGboost,svmguide1,GP + prior,0.007320087841054085
1,46,0.0038569999999999993,XGboost,svmguide1,GP + prior,0.007320087841054085
1,47,0.004106999999999972,XGboost,svmguide1,GP + prior,0.007320087841054085
1,48,0.0037789999999999773,XGboost,svmguide1,GP + prior,0.007320087841054085
1,49,0.003735000000000044,XGboost,svmguide1,GP + prior,0.007320087841054085
1,50,0.004260999999999959,XGboost,svmguide1,GP + prior,0.007320087841054085
1,51,0.004874000000000045,XGboost,svmguide1,GP + prior,0.007320087841054085
1,52,0.004901000000000043,XGboost,svmguide1,GP + prior,0.007320087841054085
1,53,0.0035640000000000116,XGboost,svmguide1,GP + prior,0.007116085393024838
1,54,0.005574999999999997,XGboost,svmguide1,GP + prior,0.007116085393024838
1,55,0.003974000000000033,XGboost,svmguide1,GP + prior,0.007116085393024838
1,56,0.004067000000000043,XGboost,svmguide1,GP + prior,0.007116085393024838
1,57,0.004202000000000039,XGboost,svmguide1,GP + prior,0.007116085393024838
1,58,0.004719000000000029,XGboost,svmguide1,GP + prior,0.007116085393024838
1,59,0.0070109999999999895,XGboost,svmguide1,GP + prior,0.007116085393024838
1,60,0.00394300000000003,XGboost,svmguide1,GP + prior,0.007116085393024838
1,61,0.004156000000000049,XGboost,svmguide1,GP + prior,0.007116085393024838
1,62,0.0041480000000000405,XGboost,svmguide1,GP + prior,0.007116085393024838
1,63,0.004616999999999982,XGboost,svmguide1,GP + prior,0.007116085393024838
1,64,0.004222999999999978,XGboost,svmguide1,GP + prior,0.007116085393024838
1,65,0.003947999999999952,XGboost,svmguide1,GP + prior,0.007116085393024838
1,66,0.004643999999999982,XGboost,svmguide1,GP + prior,0.007116085393024838
1,67,0.004226999999999982,XGboost,svmguide1,GP + prior,0.007116085393024838
1,68,0.0038169999999999593,XGboost,svmguide1,GP + prior,0.007116085393024838
1,69,0.00431400000000004,XGboost,svmguide1,GP + prior,0.007116085393024838
2,0,0.003739000000000048,XGboost,svmguide1,GP + prior,0.007466089593075311
2,1,0.004218999999999973,XGboost,svmguide1,GP + prior,0.007466089593075311
2,2,0.006079999999999974,XGboost,svmguide1,GP + prior,0.007466089593075311
2,3,0.0041879999999999695,XGboost,svmguide1,GP + prior,0.007466089593075311
2,4,0.004106999999999972,XGboost,svmguide1,GP + prior,0.007466089593075311
2,5,0.004468000000000028,XGboost,svmguide1,GP + prior,0.007466089593075311
2,6,0.0047439999999999705,XGboost,svmguide1,GP + prior,0.007466089593075311
2,7,0.004271000000000025,XGboost,svmguide1,GP + prior,0.007466089593075311
2,8,0.004064999999999985,XGboost,svmguide1,GP + prior,0.007466089593075311
2,9,0.004202000000000039,XGboost,svmguide1,GP + prior,0.007466089593075311
2,10,0.0043440000000000145,XGboost,svmguide1,GP + prior,0.007466089593075311
2,11,0.003959999999999964,XGboost,svmguide1,GP + prior,0.007466089593075311
2,12,0.00497000000000003,XGboost,svmguide1,GP + prior,0.007466089593075311
2,13,0.004472999999999949,XGboost,svmguide1,GP + prior,0.007466089593075311
2,14,0.004272999999999971,XGboost,svmguide1,GP + prior,0.007466089593075311
2,15,0.005381999999999998,XGboost,svmguide1,GP + prior,0.007466089593075311
2,16,0.0039130000000000545,XGboost,svmguide1,GP + prior,0.007466089593075311
2,17,0.00389600000000001,XGboost,svmguide1,GP + prior,0.007466089593075311
2,18,0.0043079999999999785,XGboost,svmguide1,GP + prior,0.007466089593075311
2,19,0.004726000000000008,XGboost,svmguide1,GP + prior,0.007466089593075311
2,20,0.004133000000000053,XGboost,svmguide1,GP + prior,0.007466089593075311
2,21,0.003974999999999951,XGboost,svmguide1,GP + prior,0.007466089593075311
2,22,0.0041480000000000405,XGboost,svmguide1,GP + prior,0.007466089593075311
2,23,0.004225000000000034,XGboost,svmguide1,GP + prior,0.007466089593075311
2,24,0.003874999999999962,XGboost,svmguide1,GP + prior,0.007466089593075311
2,25,0.004757000000000011,XGboost,svmguide1,GP + prior,0.007466089593075311
2,26,0.0037810000000000335,XGboost,svmguide1,GP + prior,0.007466089593075311
2,27,0.003836999999999979,XGboost,svmguide1,GP + prior,0.007466089593075311
2,28,0.003906999999999994,XGboost,svmguide1,GP + prior,0.007466089593075311
2,29,0.004040999999999961,XGboost,svmguide1,GP + prior,0.007466089593075311
2,30,0.0037570000000000095,XGboost,svmguide1,GP + prior,0.007466089593075311
2,31,0.004048999999999968,XGboost,svmguide1,GP + prior,0.007466089593075311
2,32,0.0038249999999999673,XGboost,svmguide1,GP + prior,0.007466089593075311
2,33,0.003947000000000035,XGboost,svmguide1,GP + prior,0.007466089593075311
2,34,0.004093000000000013,XGboost,svmguide1,GP + prior,0.007466089593075311
2,35,0.0038230000000000213,XGboost,svmguide1,GP + prior,0.007466089593075311
2,36,0.004020000000000024,XGboost,svmguide1,GP + prior,0.007466089593075311
2,37,0.005565000000000042,XGboost,svmguide1,GP + prior,0.007466089593075311
2,38,0.003893999999999953,XGboost,svmguide1,GP + prior,0.007466089593075311
2,39,0.004403999999999964,XGboost,svmguide1,GP + prior,0.007466089593075311
2,40,0.004059000000000035,XGboost,svmguide1,GP + prior,0.007466089593075311
2,41,0.004261999999999988,XGboost,svmguide1,GP + prior,0.007466089593075311
2,42,0.0041120000000000045,XGboost,svmguide1,GP + prior,0.007466089593075311
2,43,0.0041679999999999495,XGboost,svmguide1,GP + prior,0.007466089593075311
2,44,0.003665999999999947,XGboost,svmguide1,GP + prior,0.007320087841054085
2,45,0.003910999999999998,XGboost,svmguide1,GP + prior,0.007320087841054085
2,46,0.004467,XGboost,svmguide1,GP + prior,0.007320087841054085
2,47,0.003798999999999997,XGboost,svmguide1,GP + prior,0.007320087841054085
2,48,0.004290000000000016,XGboost,svmguide1,GP + prior,0.007320087841054085
2,49,0.003867999999999983,XGboost,svmguide1,GP + prior,0.007320087841054085
2,50,0.004248999999999947,XGboost,svmguide1,GP + prior,0.007320087841054085
2,51,0.004545000000000021,XGboost,svmguide1,GP + prior,0.007320087841054085
2,52,0.004014999999999991,XGboost,svmguide1,GP + prior,0.007320087841054085
2,53,0.0063670000000000115,XGboost,svmguide1,GP + prior,0.007320087841054085
2,54,0.003866999999999954,XGboost,svmguide1,GP + prior,0.007320087841054085
2,55,0.004341999999999957,XGboost,svmguide1,GP + prior,0.007320087841054085
2,56,0.004190000000000027,XGboost,svmguide1,GP + prior,0.007320087841054085
2,57,0.004141999999999979,XGboost,svmguide1,GP + prior,0.007320087841054085
2,58,0.00419499999999995,XGboost,svmguide1,GP + prior,0.007320087841054085
2,59,0.004221999999999948,XGboost,svmguide1,GP + prior,0.007320087841054085
2,60,0.0038700000000000396,XGboost,svmguide1,GP + prior,0.007320087841054085
2,61,0.004267000000000021,XGboost,svmguide1,GP + prior,0.007320087841054085
2,62,0.004475000000000007,XGboost,svmguide1,GP + prior,0.007320087841054085
2,63,0.004643999999999982,XGboost,svmguide1,GP + prior,0.007320087841054085
2,64,0.003900000000000015,XGboost,svmguide1,GP + prior,0.007320087841054085
2,65,0.004052999999999972,XGboost,svmguide1,GP + prior,0.007320087841054085
2,66,0.00430699999999995,XGboost,svmguide1,GP + prior,0.007320087841054085
2,67,0.004302000000000028,XGboost,svmguide1,GP + prior,0.007320087841054085
2,68,0.003917999999999977,XGboost,svmguide1,GP + prior,0.007320087841054085
2,69,0.0040320000000000356,XGboost,svmguide1,GP + prior,0.007320087841054085
3,0,0.008978000000000042,XGboost,svmguide1,GP + prior,0.017944215330584146
3,1,0.0042640000000000455,XGboost,svmguide1,GP + prior,0.008516102193226509
3,2,0.004665000000000029,XGboost,svmguide1,GP + prior,0.008516102193226509
3,3,0.005842000000000014,XGboost,svmguide1,GP + prior,0.008516102193226509
3,4,0.007747999999999976,XGboost,svmguide1,GP + prior,0.008516102193226509
3,5,0.0038249999999999673,XGboost,svmguide1,GP + prior,0.007638091657099918
3,6,0.004152000000000045,XGboost,svmguide1,GP + prior,0.007638091657099918
3,7,0.0038230000000000213,XGboost,svmguide1,GP + prior,0.00763409160909945
3,8,0.0037570000000000095,XGboost,svmguide1,GP + prior,0.007502090025080418
3,9,0.004214000000000051,XGboost,svmguide1,GP + prior,0.007502090025080418
3,10,0.004403999999999964,XGboost,svmguide1,GP + prior,0.007502090025080418
3,11,0.004056999999999977,XGboost,svmguide1,GP + prior,0.007502090025080418
3,12,0.004261999999999988,XGboost,svmguide1,GP + prior,0.007502090025080418
3,13,0.004260999999999959,XGboost,svmguide1,GP + prior,0.007502090025080418
3,14,0.004071000000000047,XGboost,svmguide1,GP + prior,0.007502090025080418
3,15,0.003991999999999996,XGboost,svmguide1,GP + prior,0.007502090025080418
3,16,0.003947000000000035,XGboost,svmguide1,GP + prior,0.007502090025080418
3,17,0.004171000000000036,XGboost,svmguide1,GP + prior,0.007502090025080418
3,18,0.003836999999999979,XGboost,svmguide1,GP + prior,0.007502090025080418
3,19,0.004020000000000024,XGboost,svmguide1,GP + prior,0.007502090025080418
3,20,0.003959999999999964,XGboost,svmguide1,GP + prior,0.007502090025080418
3,21,0.004093000000000013,XGboost,svmguide1,GP + prior,0.007502090025080418
3,22,0.003997000000000028,XGboost,svmguide1,GP + prior,0.007502090025080418
3,23,0.00389600000000001,XGboost,svmguide1,GP + prior,0.007502090025080418
3,24,0.0037810000000000335,XGboost,svmguide1,GP + prior,0.007502090025080418
3,25,0.003906999999999994,XGboost,svmguide1,GP + prior,0.007502090025080418
3,26,0.004118999999999985,XGboost,svmguide1,GP + prior,0.007502090025080418
3,27,0.004059000000000035,XGboost,svmguide1,GP + prior,0.007502090025080418
3,28,0.004141999999999979,XGboost,svmguide1,GP + prior,0.007502090025080418
3,29,0.004757000000000011,XGboost,svmguide1,GP + prior,0.007502090025080418
3,30,0.004049999999999998,XGboost,svmguide1,GP + prior,0.007502090025080418
3,31,0.004133000000000053,XGboost,svmguide1,GP + prior,0.007502090025080418
3,32,0.005399000000000043,XGboost,svmguide1,GP + prior,0.007502090025080418
3,33,0.004468000000000028,XGboost,svmguide1,GP + prior,0.007502090025080418
3,34,0.004434000000000049,XGboost,svmguide1,GP + prior,0.007502090025080418
3,35,0.003935000000000022,XGboost,svmguide1,GP + prior,0.007502090025080418
3,36,0.004005000000000036,XGboost,svmguide1,GP + prior,0.007502090025080418
3,37,0.004064999999999985,XGboost,svmguide1,GP + prior,0.007502090025080418
3,38,0.004055999999999949,XGboost,svmguide1,GP + prior,0.007502090025080418
3,39,0.004276999999999975,XGboost,svmguide1,GP + prior,0.007502090025080418
3,40,0.0041120000000000045,XGboost,svmguide1,GP + prior,0.007502090025080418
3,41,0.0037570000000000095,XGboost,svmguide1,GP + prior,0.007502090025080418
3,42,0.00395599999999996,XGboost,svmguide1,GP + prior,0.007502090025080418
3,43,0.003939000000000026,XGboost,svmguide1,GP + prior,0.007502090025080418
3,44,0.004040999999999961,XGboost,svmguide1,GP + prior,0.007502090025080418
3,45,0.004267000000000021,XGboost,svmguide1,GP + prior,0.007502090025080418
3,46,0.0037570000000000095,XGboost,svmguide1,GP + prior,0.007502090025080418
3,47,0.004133999999999971,XGboost,svmguide1,GP + prior,0.007502090025080418
3,48,0.0037570000000000095,XGboost,svmguide1,GP + prior,0.007502090025080418
3,49,0.003893999999999953,XGboost,svmguide1,GP + prior,0.007502090025080418
3,50,0.0037570000000000095,XGboost,svmguide1,GP + prior,0.007502090025080418
3,51,0.0038460000000000156,XGboost,svmguide1,GP + prior,0.007502090025080418
3,52,0.004263000000000017,XGboost,svmguide1,GP + prior,0.007502090025080418
3,53,0.0043079999999999785,XGboost,svmguide1,GP + prior,0.007502090025080418
3,54,0.004093000000000013,XGboost,svmguide1,GP + prior,0.007502090025080418
3,55,0.005689000000000054,XGboost,svmguide1,GP + prior,0.007502090025080418
3,56,0.004214999999999969,XGboost,svmguide1,GP + prior,0.007502090025080418
3,57,0.004464000000000024,XGboost,svmguide1,GP + prior,0.007502090025080418
3,58,0.004554999999999976,XGboost,svmguide1,GP + prior,0.007502090025080418
