seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.10597506165504456,Deepar,traffic,GP + prior,0.0018682738602579262
0,1,0.08972826600074768,Deepar,traffic,GP + prior,0.0015586463529566697
0,2,0.13163764774799347,Deepar,traffic,GP + prior,0.0015586463529566697
0,3,0.08925699442625046,Deepar,traffic,GP + prior,0.0015496649731216298
0,4,0.0913844034075737,Deepar,traffic,GP + prior,0.0015496649731216298
0,5,0.08706920593976973,Deepar,traffic,GP + prior,0.0015079706285883888
0,6,0.6226617693901062,Deepar,traffic,GP + prior,0.0015079706285883888
0,7,0.2916792333126068,Deepar,traffic,GP + prior,0.0015079706285883888
0,8,0.10494933277368547,Deepar,traffic,GP + prior,0.0015079706285883888
0,9,0.10720082372426988,Deepar,traffic,GP + prior,0.0015079706285883888
0,10,0.09062214195728302,Deepar,traffic,GP + prior,0.0015079706285883888
0,11,0.13272936642169952,Deepar,traffic,GP + prior,0.0015079706285883888
0,12,0.13455602526664734,Deepar,traffic,GP + prior,0.0015079706285883888
0,13,0.0933438241481781,Deepar,traffic,GP + prior,0.0015079706285883888
0,14,0.10247186571359634,Deepar,traffic,GP + prior,0.0015079706285883888
0,15,0.09752845019102097,Deepar,traffic,GP + prior,0.0015079706285883888
0,16,0.08877227455377579,Deepar,traffic,GP + prior,0.0015079706285883888
0,17,0.08942057192325592,Deepar,traffic,GP + prior,0.0015079706285883888
0,18,0.08820988237857819,Deepar,traffic,GP + prior,0.0015079706285883888
0,19,0.10143175721168518,Deepar,traffic,GP + prior,0.0015079706285883888
0,20,0.11717601865530015,Deepar,traffic,GP + prior,0.0015079706285883888
0,21,0.17400042712688446,Deepar,traffic,GP + prior,0.0015079706285883888
0,22,0.4963543117046356,Deepar,traffic,GP + prior,0.0015079706285883888
0,23,0.09165817499160768,Deepar,traffic,GP + prior,0.0015079706285883888
0,24,0.0991867259144783,Deepar,traffic,GP + prior,0.0015079706285883888
0,25,0.10968916118144988,Deepar,traffic,GP + prior,0.0015079706285883888
0,26,0.11391150951385498,Deepar,traffic,GP + prior,0.0015079706285883888
0,27,0.09132924675941467,Deepar,traffic,GP + prior,0.0015079706285883888
0,28,0.1787692904472351,Deepar,traffic,GP + prior,0.0015079706285883888
0,29,0.109694704413414,Deepar,traffic,GP + prior,0.0015079706285883888
