seed,iteration,value,blackbox,task,optimizer,dtm
0,0,6.15000000000001,NAS,cifar10,IGCP+prior,0.00658383774012368
0,1,6.34,NAS,cifar10,IGCP+prior,0.00658383774012368
0,2,5.75,NAS,cifar10,IGCP+prior,0.00233620048843095
0,3,5.73,NAS,cifar10,IGCP+prior,0.00212381862584636
0,4,5.59,NAS,cifar10,IGCP+prior,0.000637145587753914
0,5,5.64,NAS,cifar10,IGCP+prior,0.000637145587753914
0,6,5.87,NAS,cifar10,IGCP+prior,0.000637145587753914
0,7,5.66,NAS,cifar10,IGCP+prior,0.000637145587753914
0,8,5.66,NAS,cifar10,IGCP+prior,0.000637145587753914
0,9,5.56,NAS,cifar10,IGCP+prior,0.000318572793876962
0,10,5.92,NAS,cifar10,IGCP+prior,0.000318572793876962
0,11,5.53,NAS,cifar10,IGCP+prior,0
0,12,5.76000000000001,NAS,cifar10,IGCP+prior,0
0,13,5.93000000000001,NAS,cifar10,IGCP+prior,0
0,14,6.03,NAS,cifar10,IGCP+prior,0
0,15,5.93000000000001,NAS,cifar10,IGCP+prior,0
0,16,6.11,NAS,cifar10,IGCP+prior,0
0,17,6.12,NAS,cifar10,IGCP+prior,0
0,18,6.33,NAS,cifar10,IGCP+prior,0
0,19,5.86,NAS,cifar10,IGCP+prior,0
0,20,6,NAS,cifar10,IGCP+prior,0
0,21,6.41,NAS,cifar10,IGCP+prior,0
0,22,5.81999999999999,NAS,cifar10,IGCP+prior,0
0,23,6.79000000000001,NAS,cifar10,IGCP+prior,0
0,24,6.13,NAS,cifar10,IGCP+prior,0
0,25,5.87,NAS,cifar10,IGCP+prior,0
0,26,5.88,NAS,cifar10,IGCP+prior,0
0,27,6.17,NAS,cifar10,IGCP+prior,0
0,28,6.08,NAS,cifar10,IGCP+prior,0
0,29,6.38,NAS,cifar10,IGCP+prior,0
0,30,6.02,NAS,cifar10,IGCP+prior,0
0,31,6.01000000000001,NAS,cifar10,IGCP+prior,0
0,32,6.12,NAS,cifar10,IGCP+prior,0
0,33,5.84,NAS,cifar10,IGCP+prior,0
0,34,5.56,NAS,cifar10,IGCP+prior,0
0,35,5.70999999999999,NAS,cifar10,IGCP+prior,0
0,36,5.89,NAS,cifar10,IGCP+prior,0
0,37,6.47,NAS,cifar10,IGCP+prior,0
0,38,5.97,NAS,cifar10,IGCP+prior,0
0,39,5.92,NAS,cifar10,IGCP+prior,0
0,40,5.81,NAS,cifar10,IGCP+prior,0
0,41,5.91,NAS,cifar10,IGCP+prior,0
0,42,6,NAS,cifar10,IGCP+prior,0
0,43,6.19,NAS,cifar10,IGCP+prior,0
0,44,6.59,NAS,cifar10,IGCP+prior,0
0,45,6.39,NAS,cifar10,IGCP+prior,0
0,46,5.74,NAS,cifar10,IGCP+prior,0
0,47,5.97,NAS,cifar10,IGCP+prior,0
0,48,6.64,NAS,cifar10,IGCP+prior,0
0,49,6.06999999999999,NAS,cifar10,IGCP+prior,0
0,50,6.01000000000001,NAS,cifar10,IGCP+prior,0
0,51,5.89,NAS,cifar10,IGCP+prior,0
0,52,6.36,NAS,cifar10,IGCP+prior,0
0,53,6.19,NAS,cifar10,IGCP+prior,0
0,54,7.09999999999999,NAS,cifar10,IGCP+prior,0
0,55,6.34,NAS,cifar10,IGCP+prior,0
0,56,6.38,NAS,cifar10,IGCP+prior,0
0,57,6.73,NAS,cifar10,IGCP+prior,0
0,58,6.06,NAS,cifar10,IGCP+prior,0
0,59,6.26000000000001,NAS,cifar10,IGCP+prior,0
0,60,5.99,NAS,cifar10,IGCP+prior,0
0,61,6.20999999999999,NAS,cifar10,IGCP+prior,0
0,62,6.3,NAS,cifar10,IGCP+prior,0
0,63,6.48,NAS,cifar10,IGCP+prior,0
0,64,5.87,NAS,cifar10,IGCP+prior,0
0,65,6.19,NAS,cifar10,IGCP+prior,0
0,66,6.08,NAS,cifar10,IGCP+prior,0
0,67,6.56,NAS,cifar10,IGCP+prior,0
0,68,5.92,NAS,cifar10,IGCP+prior,0
0,69,5.94,NAS,cifar10,IGCP+prior,0
1,0,6.68000000000001,NAS,cifar10,IGCP+prior,0.0122119570986165
1,1,5.53,NAS,cifar10,IGCP+prior,0
1,2,6.34,NAS,cifar10,IGCP+prior,0
1,3,7.06,NAS,cifar10,IGCP+prior,0
1,4,5.76000000000001,NAS,cifar10,IGCP+prior,0
1,5,5.64,NAS,cifar10,IGCP+prior,0
1,6,6.12,NAS,cifar10,IGCP+prior,0
1,7,5.73,NAS,cifar10,IGCP+prior,0
1,8,6.41,NAS,cifar10,IGCP+prior,0
1,9,6.79000000000001,NAS,cifar10,IGCP+prior,0
1,10,6.16,NAS,cifar10,IGCP+prior,0
1,11,5.56,NAS,cifar10,IGCP+prior,0
1,12,6,NAS,cifar10,IGCP+prior,0
1,13,6.45999999999999,NAS,cifar10,IGCP+prior,0
1,14,6.47,NAS,cifar10,IGCP+prior,0
1,15,6,NAS,cifar10,IGCP+prior,0
1,16,6.33,NAS,cifar10,IGCP+prior,0
1,17,5.75,NAS,cifar10,IGCP+prior,0
1,18,6.15000000000001,NAS,cifar10,IGCP+prior,0
1,19,6.33,NAS,cifar10,IGCP+prior,0
1,20,6.12,NAS,cifar10,IGCP+prior,0
1,21,5.92,NAS,cifar10,IGCP+prior,0
1,22,6.40000000000001,NAS,cifar10,IGCP+prior,0
1,23,6.17,NAS,cifar10,IGCP+prior,0
1,24,5.93000000000001,NAS,cifar10,IGCP+prior,0
1,25,5.88,NAS,cifar10,IGCP+prior,0
1,26,6.64,NAS,cifar10,IGCP+prior,0
1,27,5.89,NAS,cifar10,IGCP+prior,0
1,28,5.94,NAS,cifar10,IGCP+prior,0
1,29,6.01000000000001,NAS,cifar10,IGCP+prior,0
1,30,6.45999999999999,NAS,cifar10,IGCP+prior,0
1,31,5.94,NAS,cifar10,IGCP+prior,0
1,32,6.70999999999999,NAS,cifar10,IGCP+prior,0
1,33,6.75,NAS,cifar10,IGCP+prior,0
1,34,5.87,NAS,cifar10,IGCP+prior,0
1,35,5.91,NAS,cifar10,IGCP+prior,0
1,36,5.86,NAS,cifar10,IGCP+prior,0
1,37,6.20999999999999,NAS,cifar10,IGCP+prior,0
1,38,5.66,NAS,cifar10,IGCP+prior,0
1,39,5.70999999999999,NAS,cifar10,IGCP+prior,0
1,40,6.13,NAS,cifar10,IGCP+prior,0
1,41,5.66,NAS,cifar10,IGCP+prior,0
1,42,5.87,NAS,cifar10,IGCP+prior,0
1,43,6.15000000000001,NAS,cifar10,IGCP+prior,0
1,44,5.93000000000001,NAS,cifar10,IGCP+prior,0
1,45,5.78,NAS,cifar10,IGCP+prior,0
1,46,6.08,NAS,cifar10,IGCP+prior,0
1,47,6.03,NAS,cifar10,IGCP+prior,0
1,48,6.39,NAS,cifar10,IGCP+prior,0
1,49,6.19,NAS,cifar10,IGCP+prior,0
1,50,6.47,NAS,cifar10,IGCP+prior,0
1,51,6.19,NAS,cifar10,IGCP+prior,0
1,52,6.19,NAS,cifar10,IGCP+prior,0
1,53,6.34,NAS,cifar10,IGCP+prior,0
1,54,7.09999999999999,NAS,cifar10,IGCP+prior,0
1,55,6.67,NAS,cifar10,IGCP+prior,0
1,56,6.01000000000001,NAS,cifar10,IGCP+prior,0
1,57,5.81999999999999,NAS,cifar10,IGCP+prior,0
1,58,6.49,NAS,cifar10,IGCP+prior,0
1,59,6.02,NAS,cifar10,IGCP+prior,0
1,60,6.55,NAS,cifar10,IGCP+prior,0
1,61,6.38,NAS,cifar10,IGCP+prior,0
1,62,6.01000000000001,NAS,cifar10,IGCP+prior,0
