seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.011309155263006687,Deepar,exchange-rate,GCP + prior,6.415388200063127e-05
0,1,0.03716003894805908,Deepar,exchange-rate,GCP + prior,6.415388200063127e-05
0,2,0.05612364038825035,Deepar,exchange-rate,GCP + prior,6.415388200063127e-05
0,3,0.02183089219033718,Deepar,exchange-rate,GCP + prior,6.415388200063127e-05
0,4,0.023449530825018883,Deepar,exchange-rate,GCP + prior,6.415388200063127e-05
0,5,0.015732111409306526,Deepar,exchange-rate,GCP + prior,6.415388200063127e-05
0,6,0.00902542844414711,Deepar,exchange-rate,GCP + prior,2.0631167902020208e-05
0,7,0.03719919547438622,Deepar,exchange-rate,GCP + prior,2.0631167902020208e-05
0,8,0.04802127555012703,Deepar,exchange-rate,GCP + prior,2.0631167902020208e-05
0,9,0.0167558416724205,Deepar,exchange-rate,GCP + prior,2.0631167902020208e-05
0,10,0.008565220981836319,Deepar,exchange-rate,GCP + prior,1.1860645244585205e-05
0,11,0.008710624650120735,Deepar,exchange-rate,GCP + prior,1.1860645244585205e-05
0,12,0.008459053933620453,Deepar,exchange-rate,GCP + prior,9.83733928345452e-06
0,13,0.008144897408783436,Deepar,exchange-rate,GCP + prior,3.850220115005753e-06
0,14,0.013263552449643612,Deepar,exchange-rate,GCP + prior,3.850220115005753e-06
0,15,0.01977708749473095,Deepar,exchange-rate,GCP + prior,3.850220115005753e-06
0,16,0.009272562339901924,Deepar,exchange-rate,GCP + prior,3.850220115005753e-06
0,17,0.02210055664181709,Deepar,exchange-rate,GCP + prior,3.850220115005753e-06
0,18,0.01505192928016186,Deepar,exchange-rate,GCP + prior,3.850220115005753e-06
0,19,0.010884260758757593,Deepar,exchange-rate,GCP + prior,3.850220115005753e-06
0,20,0.016187429428100586,Deepar,exchange-rate,GCP + prior,3.850220115005753e-06
0,21,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,22,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,23,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,24,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,25,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,26,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,27,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,28,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,29,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,30,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,31,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,32,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,33,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,34,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,35,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,36,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
0,37,0.007942868396639824,Deepar,exchange-rate,GCP + prior,0.0
