seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.10075560212135316,Deepar,m4-Monthly,GCP + prior,0.0017688026611818654
0,1,0.09892577677965164,Deepar,m4-Monthly,GCP + prior,0.0017339302917988068
0,2,0.09530118852853776,Deepar,m4-Monthly,GCP + prior,0.0016648537643982177
0,3,0.12148351222276688,Deepar,m4-Monthly,GCP + prior,0.0016648537643982177
0,4,0.10690443962812424,Deepar,m4-Monthly,GCP + prior,0.0016648537643982177
0,5,0.10272981226444244,Deepar,m4-Monthly,GCP + prior,0.0016648537643982177
0,6,0.0927765816450119,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,7,0.09398604184389114,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,8,0.17250895500183105,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,9,0.0949232578277588,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,10,0.09971456229686736,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,11,0.11656232923269272,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,12,0.1049991026520729,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,13,0.2831653356552124,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,14,0.10026206076145172,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,15,0.10407743602991104,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,16,0.09669332206249236,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,17,0.09873587638139723,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,18,0.11487819254398345,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,19,0.0956508070230484,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,20,0.09520123153924942,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,21,0.11357200145721436,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,22,0.12981334328651428,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,23,0.10629761964082718,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,24,0.1110224425792694,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,25,0.10012254863977432,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,26,0.26149305701255804,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,27,0.102397583425045,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,28,0.10122464597225188,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,29,0.09562954306602478,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,30,0.09399498254060744,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,31,0.0954405963420868,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,32,0.09561210870742798,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,33,0.09516029059886932,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,34,0.0985446274280548,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,35,0.16587501764297485,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,36,0.09376447647809982,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,37,0.10257166624069214,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,38,0.0967620462179184,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,39,0.0970519632101059,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,40,0.10148181021213533,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,41,0.14193610846996307,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,42,0.13316872715950012,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,43,0.1141294091939926,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,44,0.09805195033550262,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,45,0.10433250665664673,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,46,0.10807621479034424,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,47,0.09825223684310913,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,48,0.2402542382478714,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,49,0.10478569567203523,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,50,0.10533805191516876,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,51,0.14709119498729706,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,52,0.11242646723985672,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,53,0.09784069657325743,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,54,0.11970257759094237,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,55,0.11572674661874773,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,56,0.10655632615089417,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,57,0.0977133810520172,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,58,0.0954287201166153,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,59,0.10468004643917084,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,60,0.09902596473693848,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,61,0.10036781430244446,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,62,0.24712249636650085,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,63,0.1020885929465294,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,64,0.10980649292469023,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,65,0.10176118463277817,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,66,0.13516561686992645,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,67,0.10695357620716096,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,68,0.12818461656570435,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
0,69,0.10334014147520064,Deepar,m4-Monthly,GCP + prior,0.0016167404162097721
