seed,iteration,value,blackbox,task,optimizer,dtm
0,0,4.635701043298468e-05,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,1,0.00025921876658685505,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,2,0.0001371886464767158,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,3,0.5042177438735962,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,4,0.00025921876658685505,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,5,6.112752453191206e-05,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,6,5.150661672814749e-05,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,7,4.665715823648498e-05,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,8,5.332826913218014e-05,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,9,5.31973346369341e-05,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,10,5.990154022583738e-05,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,11,4.8855654313229024e-05,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,12,5.371254519559443e-05,Fcnet,naval,GCP + prior,1.5531081220053956e-08
0,13,4.16076545661781e-05,Fcnet,naval,GCP + prior,1.0424868755944285e-08
0,14,4.3734224163927145e-05,Fcnet,naval,GCP + prior,1.0424868755944285e-08
0,15,3.641960211098194e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,16,5.229400267126039e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,17,5.641893585561775e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,18,5.201171006774529e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,19,5.951742787146941e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,20,6.364798900904134e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,21,6.462600140366703e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,22,8.827968849800527e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,23,5.7803787058219314e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,24,6.590916746063158e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,25,6.085841232561506e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,26,0.00029392592841759324,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,27,5.236045399215072e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,28,4.3844858737429604e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,29,4.6482971811201423e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,30,6.462677265517415e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,31,4.6373737859539694e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,32,4.3096504668938e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
0,33,9.265826520277187e-05,Fcnet,naval,GCP + prior,4.84699696572405e-09
