seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.09765599999999997,XGboost,a6a,GCP + prior,0.19530234362812354
0,1,0.100279,XGboost,a6a,GCP + prior,0.19530234362812354
0,2,0.113217,XGboost,a6a,GCP + prior,0.19530234362812354
0,3,0.096236,XGboost,a6a,GCP + prior,0.19246230954771465
0,4,0.098464,XGboost,a6a,GCP + prior,0.19246230954771465
0,5,0.10132600000000004,XGboost,a6a,GCP + prior,0.19246230954771465
0,6,0.09613300000000002,XGboost,a6a,GCP + prior,0.19225630707568503
0,7,0.096148,XGboost,a6a,GCP + prior,0.19225630707568503
0,8,0.095406,XGboost,a6a,GCP + prior,0.1908022896274756
0,9,0.09873200000000004,XGboost,a6a,GCP + prior,0.1908022896274756
0,10,0.101414,XGboost,a6a,GCP + prior,0.1908022896274756
0,11,0.11363999999999995,XGboost,a6a,GCP + prior,0.1908022896274756
0,12,0.09907600000000004,XGboost,a6a,GCP + prior,0.1908022896274756
0,13,0.09698799999999996,XGboost,a6a,GCP + prior,0.1908022896274756
0,14,0.095372,XGboost,a6a,GCP + prior,0.1907342888114658
0,15,0.09661699999999997,XGboost,a6a,GCP + prior,0.1907342888114658
0,16,0.09514699999999998,XGboost,a6a,GCP + prior,0.19028428341140097
0,17,0.09647099999999996,XGboost,a6a,GCP + prior,0.19028428341140097
0,18,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,19,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,20,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,21,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,22,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,23,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,24,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,25,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,26,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,27,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,28,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,29,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,30,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,31,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,32,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,33,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,34,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,35,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,36,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,37,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,38,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,39,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,40,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,41,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,42,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,43,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,44,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,45,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,46,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,47,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,48,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,49,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,50,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,51,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,52,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,53,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,54,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,55,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,56,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,57,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,58,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,59,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,60,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,61,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,62,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,63,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,64,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,65,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,66,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,67,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,68,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
0,69,0.09500799999999998,XGboost,a6a,GCP + prior,0.19000628007536094
1,0,0.09650999999999997,XGboost,a6a,GCP + prior,0.19301031612379352
1,1,0.11944100000000002,XGboost,a6a,GCP + prior,0.19301031612379352
1,2,0.109143,XGboost,a6a,GCP + prior,0.19301031612379352
1,3,0.129189,XGboost,a6a,GCP + prior,0.19301031612379352
1,4,0.10114800000000003,XGboost,a6a,GCP + prior,0.19301031612379352
1,5,0.09772000000000004,XGboost,a6a,GCP + prior,0.19301031612379352
1,6,0.09733199999999996,XGboost,a6a,GCP + prior,0.19301031612379352
1,7,0.09569000000000004,XGboost,a6a,GCP + prior,0.1913702964435575
1,8,0.09742300000000004,XGboost,a6a,GCP + prior,0.1913702964435575
1,9,0.102703,XGboost,a6a,GCP + prior,0.1913702964435575
1,10,0.09656600000000004,XGboost,a6a,GCP + prior,0.1913702964435575
1,11,0.09577599999999996,XGboost,a6a,GCP + prior,0.1913702964435575
1,12,0.09619500000000004,XGboost,a6a,GCP + prior,0.1913702964435575
1,13,0.10015700000000004,XGboost,a6a,GCP + prior,0.1913702964435575
1,14,0.10031800000000002,XGboost,a6a,GCP + prior,0.1913702964435575
1,15,0.09692999999999996,XGboost,a6a,GCP + prior,0.1913702964435575
1,16,0.096074,XGboost,a6a,GCP + prior,0.1913702964435575
1,17,0.09685999999999996,XGboost,a6a,GCP + prior,0.1913702964435575
1,18,0.096009,XGboost,a6a,GCP + prior,0.1913702964435575
1,19,0.09670299999999997,XGboost,a6a,GCP + prior,0.1913702964435575
1,20,0.096074,XGboost,a6a,GCP + prior,0.1913702964435575
1,21,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,22,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,23,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,24,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,25,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,26,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,27,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,28,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,29,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,30,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,31,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,32,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,33,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,34,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,35,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,36,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,37,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,38,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,39,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,40,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,41,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,42,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,43,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,44,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,45,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,46,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,47,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,48,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,49,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,50,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,51,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,52,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,53,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,54,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,55,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,56,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,57,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,58,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,59,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,60,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,61,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,62,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,63,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,64,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,65,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,66,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,67,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,68,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
1,69,0.095746,XGboost,a6a,GCP + prior,0.1913702964435575
2,0,0.10988600000000004,XGboost,a6a,GCP + prior,0.21976263715164598
2,1,0.12711499999999998,XGboost,a6a,GCP + prior,0.21976263715164598
2,2,0.12512800000000002,XGboost,a6a,GCP + prior,0.21976263715164598
2,3,0.108306,XGboost,a6a,GCP + prior,0.21660259923119085
2,4,0.09772199999999998,XGboost,a6a,GCP + prior,0.19543434521214256
2,5,0.09489899999999996,XGboost,a6a,GCP + prior,0.1897882774593295
2,6,0.09698099999999997,XGboost,a6a,GCP + prior,0.1897882774593295
2,7,0.096723,XGboost,a6a,GCP + prior,0.1897882774593295
2,8,0.096426,XGboost,a6a,GCP + prior,0.1897882774593295
2,9,0.09570299999999997,XGboost,a6a,GCP + prior,0.1897882774593295
2,10,0.096715,XGboost,a6a,GCP + prior,0.1897882774593295
2,11,0.09558100000000004,XGboost,a6a,GCP + prior,0.1897882774593295
2,12,0.09850099999999996,XGboost,a6a,GCP + prior,0.1897882774593295
2,13,0.09728099999999996,XGboost,a6a,GCP + prior,0.1897882774593295
2,14,0.09536100000000004,XGboost,a6a,GCP + prior,0.1897882774593295
2,15,0.09541500000000004,XGboost,a6a,GCP + prior,0.1897882774593295
2,16,0.09638899999999996,XGboost,a6a,GCP + prior,0.1897882774593295
2,17,0.09673699999999996,XGboost,a6a,GCP + prior,0.1897882774593295
2,18,0.10113899999999998,XGboost,a6a,GCP + prior,0.1897882774593295
2,19,0.1018,XGboost,a6a,GCP + prior,0.1897882774593295
2,20,0.096518,XGboost,a6a,GCP + prior,0.1897882774593295
2,21,0.10057499999999996,XGboost,a6a,GCP + prior,0.1897882774593295
2,22,0.09575100000000004,XGboost,a6a,GCP + prior,0.1897882774593295
2,23,0.09681099999999998,XGboost,a6a,GCP + prior,0.1897882774593295
2,24,0.095387,XGboost,a6a,GCP + prior,0.1897882774593295
2,25,0.09719199999999996,XGboost,a6a,GCP + prior,0.1897882774593295
2,26,0.10837799999999996,XGboost,a6a,GCP + prior,0.1897882774593295
2,27,0.09889099999999997,XGboost,a6a,GCP + prior,0.1897882774593295
2,28,0.101893,XGboost,a6a,GCP + prior,0.1897882774593295
2,29,0.102761,XGboost,a6a,GCP + prior,0.1897882774593295
2,30,0.108495,XGboost,a6a,GCP + prior,0.1897882774593295
2,31,0.09578200000000003,XGboost,a6a,GCP + prior,0.1897882774593295
2,32,0.09618300000000002,XGboost,a6a,GCP + prior,0.1897882774593295
2,33,0.09664199999999999,XGboost,a6a,GCP + prior,0.1897882774593295
