seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.25555765628814703,Fcnet,protein,GCP + prior,0.00027472541125913636
0,1,0.3050988912582397,Fcnet,protein,GCP + prior,0.00027472541125913636
0,2,0.3216746747493744,Fcnet,protein,GCP + prior,0.00027472541125913636
0,3,0.3225482106208801,Fcnet,protein,GCP + prior,0.00027472541125913636
0,4,0.30280083417892456,Fcnet,protein,GCP + prior,0.00027472541125913636
0,5,0.2406962811946869,Fcnet,protein,GCP + prior,0.00025874738374041524
0,6,0.23187313973903656,Fcnet,protein,GCP + prior,0.00024926129001803907
0,7,0.23386874794960025,Fcnet,protein,GCP + prior,0.00024926129001803907
0,8,0.2386704534292221,Fcnet,protein,GCP + prior,0.00024926129001803907
0,9,0.23269598186016086,Fcnet,protein,GCP + prior,0.00024926129001803907
0,10,0.23739372193813324,Fcnet,protein,GCP + prior,0.00024926129001803907
0,11,0.2499836087226868,Fcnet,protein,GCP + prior,0.00024926129001803907
0,12,0.2879810333251953,Fcnet,protein,GCP + prior,0.00024926129001803907
0,13,0.23924413323402405,Fcnet,protein,GCP + prior,0.00024926129001803907
0,14,0.2896642088890076,Fcnet,protein,GCP + prior,0.00024926129001803907
0,15,0.2734842896461487,Fcnet,protein,GCP + prior,0.00024926129001803907
0,16,0.23929592967033386,Fcnet,protein,GCP + prior,0.00024926129001803907
0,17,0.2253682315349579,Fcnet,protein,GCP + prior,0.00024226761671137034
0,18,0.23311278223991394,Fcnet,protein,GCP + prior,0.00024226761671137034
0,19,0.2364596277475357,Fcnet,protein,GCP + prior,0.00024226761671137034
0,20,0.23745447397232056,Fcnet,protein,GCP + prior,0.00024226761671137034
0,21,0.2477386295795441,Fcnet,protein,GCP + prior,0.00024226761671137034
0,22,0.30498063564300537,Fcnet,protein,GCP + prior,0.00024226761671137034
0,23,0.23681458830833435,Fcnet,protein,GCP + prior,0.00024226761671137034
0,24,0.23034198582172394,Fcnet,protein,GCP + prior,0.00024226761671137034
0,25,0.26466095447540283,Fcnet,protein,GCP + prior,0.00024226761671137034
0,26,0.2324749380350113,Fcnet,protein,GCP + prior,0.00024226761671137034
0,27,0.22547684609889984,Fcnet,protein,GCP + prior,0.00024226761671137034
0,28,0.24178209900856015,Fcnet,protein,GCP + prior,0.00024226761671137034
0,29,0.2464636862277985,Fcnet,protein,GCP + prior,0.00024226761671137034
0,30,0.2398844063282013,Fcnet,protein,GCP + prior,0.00024226761671137034
0,31,0.24551670253276825,Fcnet,protein,GCP + prior,0.00024226761671137034
0,32,0.2342371046543121,Fcnet,protein,GCP + prior,0.00024226761671137034
0,33,0.2422340959310532,Fcnet,protein,GCP + prior,0.00024226761671137034
0,34,0.2404623329639435,Fcnet,protein,GCP + prior,0.00024226761671137034
0,35,0.2344682514667511,Fcnet,protein,GCP + prior,0.00024226761671137034
0,36,0.2400853931903839,Fcnet,protein,GCP + prior,0.00024226761671137034
0,37,0.24089136719703674,Fcnet,protein,GCP + prior,0.00024226761671137034
0,38,0.29063916206359863,Fcnet,protein,GCP + prior,0.00024226761671137034
0,39,0.27469974756240845,Fcnet,protein,GCP + prior,0.00024226761671137034
0,40,0.26802802085876465,Fcnet,protein,GCP + prior,0.00024226761671137034
0,41,0.2259860336780548,Fcnet,protein,GCP + prior,0.00024226761671137034
0,42,0.2293245792388916,Fcnet,protein,GCP + prior,0.00024226761671137034
0,43,0.2342570424079895,Fcnet,protein,GCP + prior,0.00024226761671137034
0,44,0.23149430751800534,Fcnet,protein,GCP + prior,0.00024226761671137034
0,45,0.241802379488945,Fcnet,protein,GCP + prior,0.00024226761671137034
