seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.014427999999999996,XGboost,skin_nonskin,GCP + prior,0.028844346132153673
0,1,0.044354000000000005,XGboost,skin_nonskin,GCP + prior,0.028844346132153673
0,2,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,2.400028800348004e-05
0,3,4.899999999996574e-05,XGboost,skin_nonskin,GCP + prior,2.400028800348004e-05
0,4,2.299999999999525e-05,XGboost,skin_nonskin,GCP + prior,2.400028800348004e-05
0,5,0.00017999999999995797,XGboost,skin_nonskin,GCP + prior,2.400028800348004e-05
0,6,2.599999999997049e-05,XGboost,skin_nonskin,GCP + prior,2.400028800348004e-05
0,7,0.03764900000000005,XGboost,skin_nonskin,GCP + prior,2.400028800348004e-05
0,8,0.00026199999999998447,XGboost,skin_nonskin,GCP + prior,2.400028800348004e-05
0,9,1.3000000000040755e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
0,10,2.0000000000020002e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
0,11,0.00026300000000001317,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
0,12,7.100000000004325e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
0,13,0.00351900000000005,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
0,14,2.0000000000020002e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
0,15,9.000000000036756e-06,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,16,1.7000000000044754e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,17,0.0004150000000000542,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,18,2.1999999999966487e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,19,1.399999999995849e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,20,2.299999999999525e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,21,9.999999999954491e-06,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,22,2.8999999999945732e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,23,2.5000000000052758e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,24,1.6000000000016e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,25,0.00017800000000001148,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,26,1.4999999999987244e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,27,2.8000000000028002e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,28,3.2000000000032e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,29,0.03874200000000005,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,30,8.500000000000174e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,31,4.099999999995774e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,32,2.8000000000028002e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,33,3.399999999997849e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,34,4.4000000000044e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,35,1.0999999999983244e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,36,5.9999999999948976e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,37,2.9999999999974488e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,38,4.0000000000040004e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,39,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,40,4.199999999998649e-05,XGboost,skin_nonskin,GCP + prior,6.000072001036546e-06
0,41,6.999999999979245e-06,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,42,2.0000000000020002e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,43,3.6000000000035996e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,44,1.3000000000040755e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,45,2.0000000000020002e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,46,1.6000000000016e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,47,4.3000000000015255e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,48,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,49,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,50,1.6000000000016e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,51,2.1999999999966487e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,52,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,53,1.7000000000044754e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,54,3.6000000000035996e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,55,0.014912999999999952,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,56,0.01540600000000003,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,57,3.2000000000032e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,58,4.700000000001925e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,59,1.2000000000012e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,60,1.7000000000044754e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,61,1.3000000000040755e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,62,2.299999999999525e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,63,1.7000000000044754e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,64,0.0003090000000000037,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,65,1.4999999999987244e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,66,2.1999999999966487e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,67,1.8999999999991246e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,68,1.2000000000012e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
0,69,2.699999999999925e-05,XGboost,skin_nonskin,GCP + prior,2.0000240003455155e-06
1,0,0.00010699999999996823,XGboost,skin_nonskin,GCP + prior,0.0002020024240291238
1,1,0.016024000000000038,XGboost,skin_nonskin,GCP + prior,0.0002020024240291238
1,2,1.7000000000044754e-05,XGboost,skin_nonskin,GCP + prior,2.2000264003356566e-05
1,3,0.01447299999999996,XGboost,skin_nonskin,GCP + prior,2.2000264003356566e-05
1,4,1.3000000000040755e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
1,5,1.4999999999987244e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
1,6,2.0000000000020002e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
1,7,2.599999999997049e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
1,8,1.4999999999987244e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
1,9,2.100000000004876e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
1,10,1.8999999999991246e-05,XGboost,skin_nonskin,GCP + prior,1.4000168002196556e-05
1,11,1.2000000000012e-05,XGboost,skin_nonskin,GCP + prior,1.200014400185104e-05
1,12,1.6000000000016e-05,XGboost,skin_nonskin,GCP + prior,1.200014400185104e-05
1,13,1.2000000000012e-05,XGboost,skin_nonskin,GCP + prior,1.200014400185104e-05
1,14,9.1999999999981e-05,XGboost,skin_nonskin,GCP + prior,1.200014400185104e-05
1,15,4.099999999995774e-05,XGboost,skin_nonskin,GCP + prior,1.200014400185104e-05
1,16,8.000000000008e-06,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,17,1.399999999995849e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,18,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,19,2.1999999999966487e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,20,3.5000000000007254e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,21,3.6000000000035996e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,22,2.8000000000028002e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,23,1.4999999999987244e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,24,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,25,1.399999999995849e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,26,1.8999999999991246e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,27,1.2000000000012e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,28,2.9999999999974488e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,29,0.014573999999999976,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,30,2.5000000000052758e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,31,1.6000000000016e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,32,2.0000000000020002e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,33,2.599999999997049e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,34,1.3000000000040755e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,35,2.100000000004876e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,36,1.0999999999983244e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,37,3.900000000001125e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,38,2.4000000000024e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,39,0.00016799999999994597,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,40,1.2000000000012e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,41,1.2000000000012e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,42,1.7000000000044754e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,43,1.3000000000040755e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,44,9.1999999999981e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,45,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,46,4.199999999998649e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,47,1.399999999995849e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,48,9.999999999954491e-06,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,49,2.8999999999945732e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,50,1.6000000000016e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,51,2.0000000000020002e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,52,2.100000000004876e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,53,3.2000000000032e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,54,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,55,8.000000000008e-06,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,56,2.8000000000028002e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,57,3.900000000001125e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,58,3.2000000000032e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,59,1.3000000000040755e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,60,2.599999999997049e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,61,1.399999999995849e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,62,6.799999999995698e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,63,1.799999999996249e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,64,1.2000000000012e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
1,65,1.2000000000012e-05,XGboost,skin_nonskin,GCP + prior,4.000048000691031e-06
