seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.005059999999999953,XGboost,svmguide1,GCP + prior,0.010108121297455573
0,1,0.0037449999999999983,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,2,0.004078000000000026,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,3,0.008635999999999977,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,4,0.009055000000000035,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,5,0.004722000000000004,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,6,0.0040440000000000476,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,7,0.004005000000000036,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,8,0.003940999999999972,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,9,0.00593699999999997,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,10,0.005638000000000032,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,11,0.004271000000000025,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,12,0.003824000000000049,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,13,0.003947999999999952,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,14,0.003986999999999964,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,15,0.003820000000000045,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,16,0.003832999999999975,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,17,0.004214999999999969,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,18,0.0037819999999999525,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,19,0.007875999999999994,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,20,0.003978000000000037,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,21,0.004170000000000007,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,22,0.003994000000000053,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,23,0.00545300000000004,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,24,0.003873000000000015,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,25,0.004028999999999949,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,26,0.004403000000000046,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,27,0.009692000000000034,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,28,0.004122999999999989,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,29,0.004020000000000024,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,30,0.004410000000000025,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,31,0.00411499999999998,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,32,0.005093000000000014,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,33,0.004371000000000014,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,34,0.004403999999999964,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,35,0.003986999999999964,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,36,0.004206999999999961,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,37,0.0040320000000000356,XGboost,svmguide1,GCP + prior,0.00747808973707694
0,38,0.003665999999999947,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,39,0.004467,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,40,0.004403000000000046,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,41,0.003910999999999998,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,42,0.003739000000000048,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,43,0.00419499999999995,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,44,0.003962000000000021,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,45,0.003897000000000039,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,46,0.003906999999999994,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,47,0.003917999999999977,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,48,0.0040170000000000474,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,49,0.003900000000000015,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,50,0.004472999999999949,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,51,0.0037719999999999976,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,52,0.004421000000000007,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,53,0.0039719999999999756,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,54,0.005125000000000046,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,55,0.003798999999999997,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,56,0.004013999999999962,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,57,0.004622000000000015,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,58,0.006709999999999994,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,59,0.003739000000000048,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,60,0.005027000000000004,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,61,0.004116000000000009,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,62,0.004202000000000039,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,63,0.00489700000000004,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,64,0.003994000000000053,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,65,0.004654000000000047,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,66,0.004713999999999996,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,67,0.003906999999999994,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,68,0.004299000000000053,XGboost,svmguide1,GCP + prior,0.007320087841054085
0,69,0.004302000000000028,XGboost,svmguide1,GCP + prior,0.007320087841054085
1,0,0.003947999999999952,XGboost,svmguide1,GCP + prior,0.007884094609135313
1,1,0.0038909999999999782,XGboost,svmguide1,GCP + prior,0.007770093241118948
1,2,0.091271,XGboost,svmguide1,GCP + prior,0.007770093241118948
1,3,0.091271,XGboost,svmguide1,GCP + prior,0.007770093241118948
1,4,0.0050719999999999646,XGboost,svmguide1,GCP + prior,0.007770093241118948
1,5,0.004577999999999971,XGboost,svmguide1,GCP + prior,0.007770093241118948
1,6,0.008399999999999963,XGboost,svmguide1,GCP + prior,0.007770093241118948
1,7,0.0037789999999999773,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,8,0.0070109999999999895,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,9,0.003994999999999971,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,10,0.005994999999999973,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,11,0.004260999999999959,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,12,0.004029999999999978,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,13,0.004296999999999995,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,14,0.004685999999999968,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,15,0.004025999999999974,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,16,0.004067000000000043,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,17,0.004055000000000032,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,18,0.006712999999999969,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,19,0.004801999999999973,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,20,0.004098999999999964,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,21,0.004425000000000011,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,22,0.0038120000000000376,XGboost,svmguide1,GCP + prior,0.00754609055308669
1,23,0.00373100000000004,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,24,0.005054000000000003,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,25,0.004337000000000035,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,26,0.005600999999999967,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,27,0.0040719999999999645,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,28,0.0074300000000000485,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,29,0.003836999999999979,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,30,0.01035699999999995,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,31,0.004722000000000004,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,32,0.006668000000000007,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,33,0.003974000000000033,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,34,0.012786999999999993,XGboost,svmguide1,GCP + prior,0.007450089401072991
1,35,0.0035640000000000116,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,36,0.003808999999999951,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,37,0.0038569999999999993,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,38,0.0036929999999999455,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,39,0.0037789999999999773,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,40,0.0057270000000000385,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,41,0.004711000000000021,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,42,0.004156000000000049,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,43,0.004952999999999985,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,44,0.0038799999999999946,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,45,0.004422999999999955,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,46,0.0040170000000000474,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,47,0.004005000000000036,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,48,0.0036969999999999508,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,49,0.004079000000000055,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,50,0.004055999999999949,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,51,0.00395599999999996,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,52,0.0042480000000000295,XGboost,svmguide1,GCP + prior,0.007116085393024838
1,53,0.003942000000000001,XGboost,svmguide1,GCP + prior,0.007116085393024838
