seed,iteration,value,blackbox,task,optimizer,dtm
0,0,6.150000000000006,NAS,cifar10,GCP + prior,0.006583837740123678
0,1,6.3400000000000025,NAS,cifar10,GCP + prior,0.006583837740123678
0,2,5.75,NAS,cifar10,GCP + prior,0.0023362004884309533
0,3,5.730000000000004,NAS,cifar10,GCP + prior,0.002123818625846362
0,4,5.5900000000000025,NAS,cifar10,GCP + prior,0.0006371455877539143
0,5,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,6,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,7,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,8,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,9,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,10,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,11,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,12,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,13,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,14,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,15,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,16,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,17,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,18,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,19,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,20,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,21,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,22,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,23,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,24,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,25,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,26,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,27,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,28,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,29,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,30,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,31,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,32,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,33,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,34,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,35,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,36,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,37,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,38,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,39,,NAS,cifar10,GCP + prior,0.0006371455877539143
0,40,,NAS,cifar10,GCP + prior,0.0006371455877539143
