optimizer,DeepAR,FCNET,XGBoost,nas_bench102
RS (baseline),7.1,10.75,8.222222222222221,12.0
TS,13.0,13.0,12.666666666666666,14.333333333333334
CTS (ours),4.5,2.5,7.555555555555555,2.6666666666666665
GP + prior,11.8,12.0,11.0,15.333333333333334
GCP,4.3,3.75,3.111111111111111,8.0
GCP + prior (ours),1.7,1.0,1.8888888888888888,1.3333333333333333
GP,7.9,8.0,8.444444444444445,8.666666666666666
AutoGP,7.3,5.5,4.222222222222222,2.3333333333333335
WS GP,7.6,5.25,5.888888888888889,5.666666666666667
ABLR,10.2,10.25,9.11111111111111,10.333333333333334
ABLR Copula,3.1,5.5,7.0,5.333333333333333
SGPT,8.8,8.25,8.555555555555555,7.333333333333333
SGPT Copula,3.7,5.25,3.3333333333333335,5.0
BOHB,,,,14.333333333333334
R-EA,,,,10.333333333333334
REINFORCE,,,,13.0
