blackbox,task,RS,CTS (ours),CTS (sklearn),CTS (pytorch),GCP + prior (ours),GCP+prior (sklearn),GCP+prior (pytorch)
DeepAR,electricity,0.0,0.2071341932614169,0.46937579833270987,0.5145287301213184,0.6829785914683577,0.9145329315928495,0.19639397695776065
DeepAR,exchange-rate,0.0,-0.06750657610644732,0.35252116942153866,0.16318276340190963,0.5446470974725814,0.4183828063378811,0.5805368519822413
DeepAR,m4-Daily,0.0,0.7045764548835414,0.6129500476445806,0.606641517381476,0.8243352032807616,0.7977283335368529,0.1159268215547543
DeepAR,m4-Hourly,0.0,0.30190225657843134,0.37625311512754545,0.6530509469029213,0.6061174662091351,0.8678010483389422,0.6346727445773022
DeepAR,m4-Monthly,0.0,0.725091187227371,0.6416936873392374,0.5622303110730124,0.9482032526906139,0.8681036721014935,0.4423374396607831
DeepAR,m4-Quarterly,0.0,0.6457455266698041,0.7038310011828561,0.7794748112030279,0.8379237248926275,0.9081818529770872,0.4362399804465189
DeepAR,m4-Weekly,0.0,0.6819013397318952,0.7957215811439368,0.7637718194648734,0.914822305817159,1.81482432709861,0.76548872956268
DeepAR,m4-Yearly,0.0,0.3353743498483791,0.8194335731393764,0.742589862446236,0.7480157268081399,1.6703319038807092,0.7026675352104018
DeepAR,solar,0.0,0.5913088704853408,0.5356253072150307,0.6326964387824774,0.8670757879413574,0.8653860557158493,-0.010563409903877233
DeepAR,traffic,0.0,-0.3434763021861719,0.10780034033870202,0.2613044412169728,0.3629884826184546,0.20497649532689763,0.027403905615331955
FCNET,naval,0.0,0.9633366649523526,0.9605572952080838,0.9697628811247665,0.9945865126773299,0.974051956881638,0.9749338073224326
FCNET,parkinsons,0.0,0.618240704166649,0.6130235596373494,0.5033072095367429,0.851579725256764,0.44830409390970133,0.45003248891089676
FCNET,protein,0.0,0.7934980854320599,0.7602245653273036,0.7600441857539412,0.9430561145906808,0.8585893715216233,0.8287057504867444
FCNET,slice,0.0,0.9270956536460488,0.8284504314790656,0.8213421805107624,0.9788811524921341,0.8410368129154527,0.8227490417050936
XGBoost,a6a,0.0,-0.4820873192140709,-0.05796419468419338,-0.08912078543360646,0.28620954337056925,-1.1259749288411864,0.11538265070628408
XGBoost,australian,0.0,0.015072286578205593,0.29278623477855265,0.15904417611044577,0.3292543917699872,0.2674171842765679,0.11162854379727927
XGBoost,german.numer,0.0,0.12768695818876605,0.21929786239737736,0.10874323797149317,0.17546499797903006,0.26137478211904536,0.06753790552869415
XGBoost,heart,0.0,0.2566524259909593,0.14711963064911251,0.2478880409891858,0.28959156414457665,0.12085568142641061,-0.05136453986490111
XGBoost,ijcnn1,0.0,0.4942139591322781,0.5970685880350037,0.36760061036892644,0.7937106011369645,0.7431805705527056,0.4758873355030227
XGBoost,madelon,0.0,-0.11202268750751115,-0.0821812021591995,0.32637462601594014,0.4768896675581893,-0.08852097180244886,0.45830006293421427
XGBoost,spambase,0.0,-0.13924371663017734,0.06644202367390725,0.0504388477290538,0.27643733317734376,-0.16514086626623697,0.17210001015161297
XGBoost,svmguide1,0.0,-0.02239403021185601,0.3337772169117259,0.12325235112431086,0.23362652181234658,0.09681915248441288,-0.20071977205021369
XGBoost,w6a,0.0,-0.0012543012059725233,0.015180707894160633,-0.02569939343202017,0.48647690641047214,-0.22500598845606676,0.08645088606806553
nas_bench102,ImageNet16-120,0.0,0.8862102676163846,0.8711070444360237,0.9402259910361719,0.9248473033083983,0.9619883740523402,0.9698572133616183
nas_bench102,cifar10,0.0,0.9374968648201633,0.8851193967012283,0.9737739730928487,0.9853647642081427,0.9716340700467191,0.9903971508039524
nas_bench102,cifar100,0.0,0.8054765571339807,0.8221047566148151,0.956014405207681,0.9108276288711128,0.9742966961834114,0.973756776819956
